start,n_days,valid_pair,combo_x1_ann,combo_x1_max_dd,combo_x1_calmar,combo_x1_monthly_pos,combo_x2_ann,combo_x2_max_dd,combo_x2_calmar,combo_x2_monthly_pos,ew48_x1_ann,ew48_x1_max_dd,ew48_x1_calmar,ew48_x1_monthly_pos,ew48_x2_ann,ew48_x2_max_dd,ew48_x2_calmar,ew48_x2_monthly_pos,rand0_x1_ann,rand0_x1_max_dd,rand0_x1_calmar,rand0_x1_monthly_pos,rand0_x2_ann,rand0_x2_max_dd,rand0_x2_calmar,rand0_x2_monthly_pos,rand1_x1_ann,rand1_x1_max_dd,rand1_x1_calmar,rand1_x1_monthly_pos,rand1_x2_ann,rand1_x2_max_dd,rand1_x2_calmar,rand1_x2_monthly_pos,rand2_x1_ann,rand2_x1_max_dd,rand2_x1_calmar,rand2_x1_monthly_pos,rand2_x2_ann,rand2_x2_max_dd,rand2_x2_calmar,rand2_x2_monthly_pos
2007-01-04,4792,True,-0.027349836259433213,-0.7293274188285968,-0.03750007959848942,0.28270042194092826,-0.07578594181854736,-0.8632289360297998,-0.08779356049752615,0.22362869198312235,0.06805377950485347,-0.773467843648211,0.08798527316127926,0.5822784810126582,0.06520460501798442,-0.7754288516482548,0.08408844329094183,0.5822784810126582,-0.30758760333915447,-0.9997572795034486,-0.3076622792803515,0.29957805907172996,-0.5322323471437842,-0.9999998957194083,-0.532232402645294,0.22362869198312235,-0.2735843973601102,-0.9993689842982759,-0.2737571424154335,0.33755274261603374,-0.5083470905385373,-0.999999719726926,-0.508347233014579,0.2320675105485232,-0.2953339043805613,-0.9996597760419047,-0.2954344182476951,0.31223628691983124,-0.5237306310487992,-0.9999998524831366,-0.5237307083079106,0.20675105485232068
2007-02-01,4772,True,-0.027462874000684367,-0.7293274188285968,-0.03765506861759515,0.2838983050847458,-0.07609116701617036,-0.8632289360297998,-0.08814714595427278,0.2245762711864407,0.06307180526374134,-0.7734678436482109,0.0815441854263145,0.5805084745762712,0.060230289982537766,-0.775428851648255,0.07767352201883125,0.5805084745762712,-0.31206813392370103,-0.9997572795034486,-0.312143897645533,0.2966101694915254,-0.5360198061830921,-0.9999998957194083,-0.5360198620795604,0.22033898305084745,-0.2781399344675506,-0.9993689842982759,-0.27831555595339125,0.3347457627118644,-0.5122261466884821,-0.999999719726926,-0.5122262902517191,0.2288135593220339,-0.29984225233203776,-0.9996597760419047,-0.29994430056918553,0.3093220338983051,-0.5275512637086477,-0.9999998524831366,-0.5275513415313668,0.2033898305084746
2007-03-01,4757,True,-0.027548267357711764,-0.7293274188285968,-0.03777215369464402,0.2851063829787234,-0.0763217033533018,-0.8632289360297998,-0.08841420875477589,0.225531914893617,0.059224529802483605,-0.7734678436482103,0.0765701254277614,0.5787234042553191,0.05638711355012793,-0.775428851648255,0.07271732723159736,0.5787234042553191,-0.3154978148617279,-0.9997572795034486,-0.31557441123952285,0.2936170212765957,-0.5389047735426143,-0.9999998957194083,-0.5389048297399289,0.2170212765957447,-0.2816297224418689,-0.9993689842982759,-0.28180754742916103,0.33191489361702126,-0.5151826131141056,-0.999999719726926,-0.5151827575059608,0.225531914893617,-0.303294186374353,-0.9996597760419047,-0.30339740944186916,0.30638297872340425,-0.5304621084850902,-0.9999998524831366,-0.5304621867372081,0.2
2007-04-02,4735,True,-0.027674475887972227,-0.7293274188285968,-0.03794520152885704,0.2863247863247863,-0.0766623600836901,-0.8632289360297998,-0.0888088395603129,0.2264957264957265,0.05235922259697268,-0.7734678436482109,0.06769411686206664,0.5769230769230769,0.049535496315925576,-0.7754288516482553,0.06388142021106474,0.5769230769230769,-0.32131253188401165,-0.9997572795034486,-0.3213905399554566,0.2905982905982906,-0.5436565078734478,-0.9999998957194083,-0.543656564566276,0.21367521367521367,-0.28757230391035105,-0.9993689842982759,-0.2877538811275746,0.32905982905982906,-0.5200669565053464,-0.999999719726926,-0.5200671022661518,0.2222222222222222,-0.309155850930404,-0.9996597760419047,-0.30926106895536876,0.3034188034188034,-0.5352616697679196,-0.9999998524831366,-0.5352617487280539,0.19658119658119658
2007-05-08,4714,True,-0.02779603109406925,-0.7293274188285968,-0.03811186906796075,0.2875536480686695,-0.0769903797669147,-0.8632289360297998,-0.08918883108924987,0.22746781115879827,0.04040265264324461,-0.7734678436482108,0.052235723792572526,0.575107296137339,0.03760560281104697,-0.7754288516482544,0.04849652257729689,0.575107296137339,-0.3303333780795511,-0.9997572795034486,-0.3304135762268402,0.2875536480686695,-0.5505144775999868,-0.9999998957194083,-0.5505145350079683,0.21030042918454936,-0.29688965992771277,-0.9993689842982759,-0.29707712025521676,0.3261802575107296,-0.5271732819580017,-0.999999719726926,-0.5271734297105194,0.21888412017167383,-0.31828436510897273,-0.9996597760419047,-0.3183926899301694,0.30042918454935624,-0.5422086241493096,-0.9999998524831366,-0.5422087041342369,0.19313304721030042
2007-06-01,4696,True,-0.027901074321718955,-0.7293274188285968,-0.038255896599269555,0.28879310344827586,-0.07727378063123669,-0.8632289360297998,-0.0895171343382413,0.22844827586206898,0.04213426643800866,-0.7734678436482105,0.0544744901601523,0.5775862068965517,0.039331271465662176,-0.7754288516482554,0.050721960347566944,0.5775862068965517,-0.3303506494553189,-0.9997572795034486,-0.33043085179574266,0.28879310344827586,-0.5512083336131792,-0.9999998957194083,-0.5512083910935164,0.21120689655172414,-0.29677644454715524,-0.9993689842982759,-0.2969638333888678,0.3275862068965517,-0.5278115500162177,-0.999999719726926,-0.5278116979476247,0.21982758620689655,-0.3182553493696805,-0.9996597760419047,-0.31836366431566765,0.3017241379310345,-0.5428832210058466,-0.9999998524831366,-0.5428833010902884,0.1939655172413793
2007-07-02,4675,True,-0.028024632570709418,-0.7293274188285968,-0.038425310563150024,0.29004329004329005,-0.07760706181457178,-0.8632289360297998,-0.08990322100589626,0.22943722943722944,0.03607564823463805,-0.7734678436482112,0.046641432518358165,0.5757575757575758,0.033282038018770166,-0.7754288516482548,0.042920814653756724,0.5757575757575758,-0.3355650943746521,-0.9997572795034486,-0.33564656267501036,0.2857142857142857,-0.5555003705116461,-0.9999998957194083,-0.5555004284395595,0.2077922077922078,-0.302098978875063,-0.9993689842982759,-0.30228972844017865,0.3246753246753247,-0.5322205706860251,-0.999999719726926,-0.5322207198531623,0.21645021645021645,-0.32350958342907365,-0.9996597760419047,-0.3236196865997662,0.2987012987012987,-0.5472174938889607,-0.9999998524831366,-0.5472175746127809,0.19047619047619047
2007-08-01,4653,True,-0.02815525368399263,-0.7293274188285968,-0.038604408605964605,0.29130434782608694,-0.07795930924176586,-0.8632289360297998,-0.09031127895262608,0.23043478260869565,0.028918384627683036,-0.7734678436482113,0.03738795977772503,0.5739130434782609,0.026143175828434728,-0.775428851648255,0.03371447396220127,0.5739130434782609,-0.34153960304966335,-0.9997572795034486,-0.34162252183779696,0.2826086956521739,-0.5603284694032005,-0.9999998957194083,-0.5603285278345909,0.20434782608695654,-0.3082136978457919,-0.9993689842982759,-0.30840830833089083,0.3217391304347826,-0.5371898414049248,-0.999999719726926,-0.5371899919648151,0.21304347826086956,-0.3295354943042542,-0.9996597760419047,-0.32964764833194654,0.2956521739130435,-0.5520964627801221,-0.9999998524831366,-0.5520965442236726,0.18695652173913044
2007-09-03,4630,True,-0.02829312031711917,-0.7293274188285968,-0.03879344117154122,0.2925764192139738,-0.07833100115692115,-0.8632289360297998,-0.09074186219612206,0.2314410480349345,0.01965684938232104,-0.7734678436482106,0.025413919329348857,0.5720524017467249,0.01689674509987893,-0.7754288516482544,0.021790193986157655,0.5720524017467249,-0.34891184109042883,-0.9997572795034486,-0.34899654970626826,0.2794759825327511,-0.566120862672095,-0.9999998957194083,-0.5661209217075197,0.20087336244541484,-0.3157912673420217,-0.9993689842982759,-0.31599066241160156,0.31877729257641924,-0.5431706936810934,-0.999999719726926,-0.5431708459172561,0.2096069868995633,-0.3369826315487032,-0.9996597760419047,-0.33709732013322224,0.2925764192139738,-0.5579565755941485,-0.9999998524831366,-0.5579566579021645,0.18340611353711792
2007-10-08,4610,True,-0.028414106454363597,-0.7293274188285968,-0.03895932844537873,0.29385964912280704,-0.07865710281209293,-0.8632289360297998,-0.09111963180226107,0.2324561403508772,0.016452284842805698,-0.7734678436482108,0.021270806508523112,0.5701754385964912,0.01369211052316599,-0.7754288516482553,0.01765746850154205,0.5701754385964912,-0.3522199457924916,-0.9997572795034486,-0.35230545754808545,0.27631578947368424,-0.5690834542583956,-0.9999998957194083,-0.5690835136027611,0.19736842105263158,-0.319121102055115,-0.9993689842982759,-0.3193225996293965,0.3157894736842105,-0.5461885236708814,-0.999999719726926,-0.5461886767528609,0.20614035087719298,-0.34029938564143036,-0.9996597760419047,-0.3404152030492076,0.2894736842105263,-0.5609394057532371,-0.9999998524831366,-0.560939488501271,0.17982456140350878
