spec,role,h,v1_thr,status,is_n,is_mean,is_std,is_t,is_median,oos_n,oos_mean,oos_std,oos_t,oos_median,n_gate,v1,v2,v3,pass
hi th=0.03 minlen=3 cooldown=10,primary,10,0.007412,ok,107,-0.0014088818867711802,0.05320354106500349,-0.2739213831510614,-0.003824276187297651,86,-0.000512980183569265,0.04553957246228998,-0.10446260825373373,-0.0026237091824865546,True,False,False,False,False
hi th=0.05 minlen=3 cooldown=10,report:th5,10,,ok,56,-0.0008708917382218058,0.046024724800992026,-0.14160121628050587,-0.0023462037640839036,51,-0.008002750125028355,0.03568268346953103,-1.6016471210244847,-0.010386387024615057,,,,,
hi th=0.02 minlen=3 cooldown=10,report:th2,10,,ok,157,-0.003779751213430321,0.05594048832838011,-0.8466166165876182,-0.0009763423842426532,101,0.0008911488005781461,0.04165290039717325,0.21501346893790907,-0.0005635293803407035,,,,,
hi th=0.03 minlen=5 cooldown=10,report:ml5,10,,ok,84,-0.004896841953193258,0.04509318483450075,-0.9952789539750836,-0.013323959735092166,79,-0.002993101048472865,0.03739264249942884,-0.711457181179541,-0.004675852607449207,,,,,
lo th=0.03 minlen=3 cooldown=10,report:lo3,10,,ok,0,,,,,0,,,,,,,,,
family-only hi th=0.03 minlen=3,report:family,10,,ok,105,-0.0021745092662721626,0.05322349408404749,-0.41865138272258456,-0.0050626603381814655,86,-0.000512980183569265,0.04553957246228998,-0.10446260825373373,-0.0026237091824865546,,,,,
