name,family,exit_regime,status,n_trades,oos_trades,annual_return,sharpe,max_drawdown,win_rate,oos_sharpe,oos_annual_return,oos_max_drawdown,i_bar,vi_bar,g1_pass,sleeve_tag,x2_full_sharpe,x2_oos_sharpe,max_corr,note
rand_default_p0.05_s40,random_baseline,default,ok,917,272,0.0021,0.0664,-0.2275,0.5823,0.8213,0.071,-0.0771,,,,,,,,p=0.05 seed=42040
rand_default_p0.05_s41,random_baseline,default,ok,833,254,-0.0083,-0.073,-0.2234,0.5498,0.7442,0.0617,-0.0788,,,,,,,,p=0.05 seed=42041
rand_default_p0.05_s42,random_baseline,default,ok,832,242,0.0039,0.0918,-0.1441,0.5565,0.4466,0.0309,-0.0822,,,,,,,,p=0.05 seed=42042
rand_default_p0.05_s43,random_baseline,default,ok,848,254,0.0231,0.2611,-0.2543,0.5649,0.8734,0.0595,-0.0616,,,,,,,,p=0.05 seed=42043
rand_default_p0.05_s44,random_baseline,default,ok,923,261,0.0175,0.2746,-0.1285,0.5699,0.3834,0.0254,-0.0726,,,,,,,,p=0.05 seed=42044
rand_default_p0.05_s45,random_baseline,default,ok,889,254,0.0056,0.114,-0.1983,0.5793,0.46,0.0348,-0.0635,,,,,,,,p=0.05 seed=42045
rand_default_p0.05_s46,random_baseline,default,ok,844,269,-0.0234,-0.2117,-0.2734,0.5355,0.5497,0.0554,-0.0853,,,,,,,,p=0.05 seed=42046
rand_default_p0.05_s47,random_baseline,default,ok,866,254,-0.0165,-0.1673,-0.201,0.5554,0.0857,0.0036,-0.0952,,,,,,,,p=0.05 seed=42047
rand_default_p0.05_s48,random_baseline,default,ok,832,271,0.0238,0.322,-0.2084,0.5781,1.0745,0.0756,-0.0609,,,,,,,,p=0.05 seed=42048
rand_default_p0.05_s49,random_baseline,default,ok,867,261,-0.0068,-0.0515,-0.2388,0.5571,0.5644,0.0466,-0.0789,,,,,,,,p=0.05 seed=42049
rand_ce_p0.02_s0,random_baseline,ce,ok,517,166,-0.0,0.0344,-0.2304,0.5919,1.2891,0.0953,-0.06,,,,,,,,p=0.02 seed=42050
