composite,mask,status,h10_full_ic,h10_is_ic,h10_is_ir,h10_is_n,h10_oos_ic,h10_oos_ir,h10_oos_n,v1_thr,v1,v2,v3,period_gate,pass
COMP-A,A,ok,0.0078,0.009,0.224,4373,-0.0058,-0.176,409,0.02,False,False,False,True,False
COMP-C,C,ok,0.0119,0.0127,0.198,4373,0.0029,0.056,409,0.02,False,False,False,True,False
