key,rebal_window,top_k,n_trades,num_entries,annual_return,sharpe,max_drawdown,oos_sharpe,oos_annual_return,skill_line,line_ok,ci_lb_positive,entries_ok,trades_ok,d6_max_abs,d6_ok,g1_pass_v2,g2_eligible_v2,n_rebal_days,run_seconds
h20_top5,20,5,1179,709,0.0113,0.1804,-0.1813,-0.049,-0.0063,0.6238,False,False,True,True,0.3125,True,False,,142,18.7
h20_top10,20,10,2313,1416,-0.0021,0.0606,-0.3673,-0.4409,-0.0606,0.6238,False,False,True,True,0.3493,True,False,,142,33.0
h10_top5,10,5,2185,1402,0.0213,0.2722,-0.2407,0.0713,0.0023,0.6238,False,False,True,True,0.4306,True,False,,284,23.4
h10_top10,10,10,4345,2803,0.0258,0.2387,-0.3822,0.09,0.0023,0.6238,False,False,True,True,0.4642,True,False,,284,41.8
null_h20_s57000,random_null_h20,10,2232,1420,-0.0269,-0.0956,-0.4973,,,0.6238,,,,,,,,,42.1
null_h20_s57001,random_null_h20,10,2211,1416,-0.0137,-0.0078,-0.4805,,,0.6238,,,,,,,,,43.3
null_h20_s57002,random_null_h20,10,2240,1417,-0.0234,-0.0508,-0.5421,,,0.6238,,,,,,,,,32.1
null_h20_s57003,random_null_h20,10,2223,1415,-0.0327,-0.0966,-0.5522,,,0.6238,,,,,,,,,42.4
null_h20_s57004,random_null_h20,10,2212,1418,-0.0309,-0.1159,-0.6035,,,0.6238,,,,,,,,,42.2
null_h20_s57005,random_null_h20,10,2203,1418,-0.0374,-0.1565,-0.4969,,,0.6238,,,,,,,,,41.4
null_h20_s57006,random_null_h20,10,2220,1417,-0.0434,-0.1678,-0.5572,,,0.6238,,,,,,,,,31.3
null_h20_s57007,random_null_h20,10,2159,1409,-0.0759,-0.3322,-0.7188,,,0.6238,,,,,,,,,41.6
null_h20_s57008,random_null_h20,10,2218,1418,-0.0281,-0.1062,-0.4673,,,0.6238,,,,,,,,,42.0
null_h20_s57009,random_null_h20,10,2205,1419,-0.0224,-0.0293,-0.5399,,,0.6238,,,,,,,,,41.8
null_h20_s57010,random_null_h20,10,2194,1411,-0.0406,-0.1232,-0.589,,,0.6238,,,,,,,,,39.8
null_h20_s57011,random_null_h20,10,2240,1416,-0.0165,-0.0189,-0.4705,,,0.6238,,,,,,,,,41.7
null_h20_s57012,random_null_h20,10,2200,1414,-0.0298,-0.0571,-0.6616,,,0.6238,,,,,,,,,39.9
null_h20_s57013,random_null_h20,10,2169,1412,-0.0447,-0.1301,-0.6604,,,0.6238,,,,,,,,,29.7
null_h20_s57014,random_null_h20,10,2215,1420,-0.0317,-0.1223,-0.4764,,,0.6238,,,,,,,,,40.5
null_h20_s57015,random_null_h20,10,1912,1258,-0.1106,-0.45,-0.8283,,,0.6238,,,,,,,,,40.1
null_h20_s57016,random_null_h20,10,2230,1417,0.0112,0.1498,-0.2983,,,0.6238,,,,,,,,,40.7
null_h20_s57017,random_null_h20,10,2266,1419,-0.0075,0.022,-0.4247,,,0.6238,,,,,,,,,41.5
null_h20_s57018,random_null_h20,10,2226,1419,-0.0141,0.0004,-0.5665,,,0.6238,,,,,,,,,40.8
null_h20_s57019,random_null_h20,10,2168,1413,-0.0861,-0.3939,-0.7351,,,0.6238,,,,,,,,,41.5
null_h10_s57100,random_null_h10,10,4205,2805,0.0096,0.1431,-0.6064,,,0.6238,,,,,,,,,40.0
null_h10_s57101,random_null_h10,10,2975,2047,-0.144,-0.5068,-0.8963,,,0.6238,,,,,,,,,51.4
null_h10_s57102,random_null_h10,10,3214,2182,-0.135,-0.5081,-0.8889,,,0.6238,,,,,,,,,56.8
null_h10_s57103,random_null_h10,10,3655,2499,-0.0837,-0.2847,-0.7988,,,0.6238,,,,,,,,,55.4
null_h10_s57104,random_null_h10,10,3419,2352,-0.0986,-0.3289,-0.8019,,,0.6238,,,,,,,,,55.8
null_h10_s57105,random_null_h10,10,3800,2580,-0.021,0.0012,-0.7655,,,0.6238,,,,,,,,,57.6
null_h10_s57106,random_null_h10,10,3960,2722,-0.0569,-0.1894,-0.6895,,,0.6238,,,,,,,,,55.8
null_h10_s57107,random_null_h10,10,3900,2661,-0.0853,-0.2948,-0.769,,,0.6238,,,,,,,,,48.6
null_h10_s57108,random_null_h10,10,4035,2743,-0.0594,-0.1933,-0.7061,,,0.6238,,,,,,,,,57.8
null_h10_s57109,random_null_h10,10,4118,2776,-0.0564,-0.2074,-0.6988,,,0.6238,,,,,,,,,56.6
null_h10_s57110,random_null_h10,10,2861,1931,-0.0685,-0.1567,-0.8402,,,0.6238,,,,,,,,,57.1
null_h10_s57111,random_null_h10,10,4097,2767,-0.0487,-0.1655,-0.6912,,,0.6238,,,,,,,,,56.3
null_h10_s57112,random_null_h10,10,4210,2818,-0.0004,0.0924,-0.4986,,,0.6238,,,,,,,,,54.2
null_h10_s57113,random_null_h10,10,3302,2229,-0.1294,-0.5287,-0.9099,,,0.6238,,,,,,,,,54.2
null_h10_s57114,random_null_h10,10,3983,2725,-0.0655,-0.2333,-0.7212,,,0.6238,,,,,,,,,55.0
null_h10_s57115,random_null_h10,10,3974,2711,-0.0504,-0.1322,-0.705,,,0.6238,,,,,,,,,40.9
null_h10_s57116,random_null_h10,10,3334,2283,-0.0797,-0.2194,-0.8343,,,0.6238,,,,,,,,,52.3
null_h10_s57117,random_null_h10,10,3786,2585,-0.0317,-0.0334,-0.7624,,,0.6238,,,,,,,,,51.6
null_h10_s57118,random_null_h10,10,4078,2777,-0.0367,-0.0888,-0.5885,,,0.6238,,,,,,,,,49.4
null_h10_s57119,random_null_h10,10,4099,2769,-0.0517,-0.1548,-0.645,,,0.6238,,,,,,,,,38.5
