factor,role,mask,status,v1_thr,h10_full_ic_mean,h10_full_ic_ir,h10_full_n_periods,h10_is_ic_mean,h10_is_ic_ir,h10_is_n_periods,h10_oos_ic_mean,h10_oos_ic_ir,h10_oos_n_periods,v1,v2,v3,period_gate,pass,compute_s
on_mom_20,primary,frozen_h10,ok,0.02,0.0075,0.027,1602,0.0127,0.045,1192,-0.0075,-0.027,410,False,False,False,True,False,0.0
in_mom_20,sensitivity,frozen_h10,ok,0.02,0.0287,0.084,1602,0.018,0.053,1192,0.0598,0.173,410,,,,,,0.0
on_vol_20,sensitivity,frozen_h10,ok,0.02,0.0092,0.034,1602,0.0003,0.001,1192,0.0352,0.102,410,,,,,,0.0
on_in_div_20,sensitivity,frozen_h10,ok,0.02,-0.0044,-0.015,1602,0.0058,0.019,1192,-0.0339,-0.115,410,,,,,,0.0
onin_corr_20,sensitivity,frozen_h10,ok,0.02,0.0294,0.128,1602,0.0461,0.198,1192,-0.0194,-0.092,410,,,,,,0.0
