leg,trader,face,start,window,ret,dd,n_trades,passive,beat,events_n,regime_state,segment
L,COMPOSITE-CE-01,x1,2022-08-05,12m,0.024142,-0.0554,73,-0.012147,1,2,GREEN,bull
L,COMPOSITE-CE-01,x1,2022-08-05,24m,0.105107,-0.0593,150,-0.111219,1,4,GREEN,bull
L,COMPOSITE-CE-01,x1,2022-08-08,6m,-0.014152,-0.0555,35,0.03027,0,2,GREEN,bull
L,COMPOSITE-CE-01,x1,2022-08-08,12m,0.021898,-0.0555,73,-0.024759,1,2,GREEN,bull
L,COMPOSITE-CE-01,x1,2022-08-08,24m,0.106723,-0.06,151,-0.125133,1,4,GREEN,bull
L,COMPOSITE-CE-01,x1,2022-08-09,6m,-0.012146,-0.054,34,0.02217,0,2,GREEN,bull
L,COMPOSITE-CE-01,x1,2022-08-09,12m,0.021844,-0.054,74,-0.034599,1,2,GREEN,bull
L,COMPOSITE-CE-01,x1,2022-08-09,24m,0.107738,-0.0601,152,-0.120303,1,4,GREEN,bull
L,COMPOSITE-CE-01,x1,2022-08-10,6m,-0.023282,-0.059,33,0.017394,0,2,GREEN,bull
L,COMPOSITE-CE-01,x1,2022-08-10,12m,0.013648,-0.059,73,-0.020198,1,2,GREEN,bull
L,COMPOSITE-CE-01,x1,2022-08-10,24m,0.079022,-0.061,153,-0.122091,1,4,GREEN,bull
L,COMPOSITE-CE-01,x1,2022-08-11,6m,-0.017245,-0.0579,33,0.014015,0,2,GREEN,bull
L,COMPOSITE-CE-01,x1,2022-08-11,12m,0.010588,-0.0579,73,-0.052035,1,2,GREEN,bull
L,COMPOSITE-CE-01,x1,2022-08-11,24m,0.081038,-0.0602,153,-0.134933,1,4,GREEN,bull
L,COMPOSITE-CE-01,x1,2022-08-12,6m,-0.016534,-0.0542,33,0.015694,0,2,GREEN,bull
L,COMPOSITE-CE-01,x1,2022-08-12,12m,0.00761,-0.0542,73,-0.04003,1,2,GREEN,bull
L,COMPOSITE-CE-01,x1,2022-08-12,24m,0.079123,-0.0601,153,-0.139595,1,4,GREEN,bull
L,COMPOSITE-CE-01,x1,2022-08-15,6m,-0.029094,-0.0579,29,0.011441,0,2,GREEN,bull
L,COMPOSITE-CE-01,x1,2022-08-15,12m,-0.009514,-0.0579,68,-0.048618,1,2,GREEN,bull
L,COMPOSITE-CE-01,x1,2022-08-15,24m,0.061084,-0.0608,149,-0.145494,1,4,GREEN,bull
L,COMPOSITE-CE-01,x1,2022-08-16,6m,-0.018411,-0.0549,33,0.012563,0,2,GREEN,bull
L,COMPOSITE-CE-01,x1,2022-08-16,12m,-0.008004,-0.0549,71,-0.035945,1,2,GREEN,bull
L,COMPOSITE-CE-01,x1,2022-08-16,24m,0.071176,-0.0601,152,-0.142786,1,4,GREEN,bull
L,COMPOSITE-CE-01,x1,2022-08-17,6m,-0.012967,-0.0529,35,0.00175,0,2,GREEN,bull
L,COMPOSITE-CE-01,x1,2022-08-17,12m,0.003356,-0.0529,72,-0.025736,1,2,GREEN,bull
L,COMPOSITE-CE-01,x1,2022-08-17,24m,0.078604,-0.0611,153,-0.146364,1,4,GREEN,bull
L,COMPOSITE-CE-01,x1,2022-08-18,6m,-0.017615,-0.0513,35,0.001177,0,2,GREEN,bull
L,COMPOSITE-CE-01,x1,2022-08-18,12m,0.015278,-0.0513,72,-0.017558,1,2,GREEN,bull
L,COMPOSITE-CE-01,x1,2022-08-18,24m,0.09753,-0.0593,155,-0.141398,1,4,GREEN,bull
L,COMPOSITE-CE-01,x1,2022-08-19,6m,-0.014681,-0.0492,35,0.013331,0,2,GREEN,bull
L,COMPOSITE-CE-01,x1,2022-08-19,12m,0.018245,-0.0492,72,-0.014638,1,2,GREEN,bull
L,COMPOSITE-CE-01,x1,2022-08-19,24m,0.104224,-0.06,155,-0.138421,1,4,GREEN,bull
L,COMPOSITE-CE-01,x1,2022-08-22,6m,-0.007562,-0.0488,35,0.018237,0,2,GREEN,bull
L,COMPOSITE-CE-01,x1,2022-08-22,12m,0.021899,-0.0488,73,-0.017447,1,2,GREEN,bull
L,COMPOSITE-CE-01,x1,2022-08-22,24m,0.111505,-0.0597,155,-0.140483,1,4,GREEN,bull
L,COMPOSITE-CE-01,x1,2022-08-23,6m,-0.021701,-0.0512,32,0.015902,0,2,GREEN,bull
L,COMPOSITE-CE-01,x1,2022-08-23,12m,0.01142,-0.0512,72,-0.004906,1,2,GREEN,bull
L,COMPOSITE-CE-01,x1,2022-08-23,24m,0.095815,-0.061,153,-0.128205,1,4,GREEN,bull
L,COMPOSITE-CE-01,x1,2022-08-24,6m,-0.01504,-0.0492,34,0.039063,0,2,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-08-24,12m,0.009748,-0.0492,73,0.005982,1,2,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-08-24,24m,0.10228,-0.0601,154,-0.113928,1,4,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-08-25,6m,-0.0074,-0.0481,35,0.032121,0,2,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-08-25,12m,0.00987,-0.0481,73,-0.00078,1,2,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-08-25,24m,0.106959,-0.0597,154,-0.102192,1,5,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-08-26,6m,0.01937,-0.0229,33,0.020485,0,2,GREEN,bull
L,COMPOSITE-CE-01,x1,2022-08-26,12m,0.042919,-0.0373,71,-0.012416,1,2,GREEN,bull
L,COMPOSITE-CE-01,x1,2022-08-26,24m,0.139875,-0.0579,152,-0.072987,1,5,GREEN,bull
L,COMPOSITE-CE-01,x1,2022-08-29,6m,0.008043,-0.0242,34,0.025318,0,2,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-08-29,12m,0.038075,-0.0376,72,-0.007131,1,2,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-08-29,24m,0.13714,-0.0583,153,-0.058526,1,5,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-08-30,6m,0.010983,-0.022,34,0.027733,0,1,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-08-30,12m,0.047114,-0.0374,72,0.002086,1,1,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-08-30,24m,0.140958,-0.058,153,-0.019553,1,4,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-08-31,6m,0.018479,-0.0212,33,0.021152,0,1,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-08-31,12m,0.054772,-0.0375,71,0.005744,1,1,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-08-31,24m,0.137583,-0.0588,152,0.032404,1,4,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-09-01,6m,0.026002,-0.0202,32,0.036492,0,1,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-09-01,12m,0.054682,-0.0369,70,0.005566,1,1,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-09-01,24m,0.135798,-0.0578,152,0.119491,1,4,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-09-02,6m,0.024117,-0.0202,32,0.031922,0,1,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-09-02,12m,0.052724,-0.0369,70,0.005749,1,1,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-09-02,24m,0.132599,-0.0579,152,0.176252,0,4,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-09-05,6m,0.025193,-0.0202,32,-0.00291,1,1,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-09-05,12m,0.044224,-0.0372,73,-0.026223,1,1,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-09-05,24m,0.124856,-0.0586,152,0.083289,1,4,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-09-06,6m,0.024758,-0.0201,32,-0.020891,1,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-09-06,12m,0.039494,-0.0373,73,-0.034602,1,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-09-06,24m,0.126119,-0.0581,152,0.072305,1,3,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-09-07,6m,0.024529,-0.021,32,-0.013295,1,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-09-07,12m,0.033174,-0.0375,73,-0.038293,1,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-09-07,24m,0.125549,-0.0583,152,0.045844,1,3,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-09-08,6m,0.037191,-0.0201,34,-0.013113,1,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-09-08,12m,0.035416,-0.0374,73,-0.039868,1,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-09-08,24m,0.131133,-0.0582,154,0.067478,1,3,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-09-09,6m,0.034971,-0.0213,34,-0.011659,1,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-09-09,12m,0.02653,-0.0375,73,-0.057721,1,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-09-09,24m,0.129479,-0.0583,154,0.036333,1,3,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-09-13,6m,0.034526,-0.017,32,-0.009589,1,0,GREEN,bull
L,COMPOSITE-CE-01,x1,2022-09-13,12m,0.032398,-0.039,69,-0.046086,1,0,GREEN,bull
L,COMPOSITE-CE-01,x1,2022-09-13,24m,0.142957,-0.0577,152,0.029303,1,3,GREEN,bull
L,COMPOSITE-CE-01,x1,2022-09-14,6m,0.035687,-0.016,33,0.009845,1,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-09-14,12m,0.028755,-0.0398,71,-0.042356,1,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-09-14,24m,0.14241,-0.0587,154,0.034106,1,3,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-09-15,6m,0.059086,-0.0182,34,0.02497,1,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-09-15,12m,0.046841,-0.043,72,-0.036115,1,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-09-15,24m,0.165755,-0.0575,154,0.083501,1,3,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-09-16,6m,0.058654,-0.015,34,0.042301,1,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-09-16,12m,0.044903,-0.0466,73,-0.016084,1,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-09-16,24m,0.170198,-0.0579,158,0.108014,1,3,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-09-19,6m,0.042149,-0.0162,35,0.043563,0,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-09-19,12m,0.032208,-0.0468,73,-0.011391,1,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-09-19,24m,0.154135,-0.0577,158,0.117701,1,3,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-09-20,6m,0.042663,-0.0155,35,0.041912,1,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-09-20,12m,0.035171,-0.0464,73,-0.018566,1,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-09-20,24m,0.15677,-0.0573,158,0.114211,1,3,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-09-21,6m,0.047174,-0.016,34,0.054908,0,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-09-21,12m,0.041578,-0.0462,71,-0.015611,1,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-09-21,24m,0.154144,-0.057,157,0.110988,1,3,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-09-22,6m,0.0494,-0.0157,35,0.067922,0,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-09-22,12m,0.042132,-0.0466,72,-0.003808,1,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-09-22,24m,0.153133,-0.0574,157,0.129516,1,3,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-09-23,6m,0.040471,-0.0167,35,0.090415,0,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-09-23,12m,0.039581,-0.0468,72,0.010578,1,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-09-23,24m,0.152591,-0.0577,157,0.14496,1,3,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-09-26,6m,0.055497,-0.0165,34,0.09907,0,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-09-26,12m,0.046412,-0.0472,71,0.008684,1,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-09-26,24m,0.165601,-0.0583,156,0.143821,1,3,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-09-27,6m,0.065905,-0.0185,35,0.081508,0,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-09-27,12m,0.050794,-0.0463,71,-0.016708,1,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-09-27,24m,0.178883,-0.0571,156,0.122528,1,3,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-09-28,6m,0.059395,-0.0199,34,0.11099,0,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-09-28,12m,0.043773,-0.0465,70,0.003304,1,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-09-28,24m,0.163767,-0.0574,155,0.145786,1,3,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-09-29,6m,0.056167,-0.0168,33,0.096514,0,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-09-29,12m,0.044097,-0.0467,72,-0.007441,1,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-09-29,24m,0.156591,-0.0578,154,0.132976,1,3,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-09-30,6m,0.049926,-0.0146,33,0.110114,0,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-09-30,12m,0.033479,-0.0465,72,-0.007983,1,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-09-30,24m,0.144726,-0.0575,154,0.158872,0,3,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-10-10,6m,0.051738,-0.0169,33,0.137145,0,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-10-10,12m,0.025702,-0.0478,72,0.005092,1,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-10-10,24m,0.141858,-0.0576,154,0.213337,0,3,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-10-11,6m,0.066555,-0.0133,33,0.128252,0,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-10-11,12m,0.038146,-0.0499,74,-0.006819,1,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-10-11,24m,0.169758,-0.0568,154,0.216924,0,3,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-10-12,6m,0.050787,-0.0166,33,0.116464,0,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-10-12,12m,0.018464,-0.0517,74,-0.015153,1,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-10-12,24m,0.147028,-0.0578,154,0.227669,0,3,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-10-13,6m,0.051669,-0.0151,33,0.126113,0,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-10-13,12m,0.022302,-0.0522,74,-0.008042,1,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-10-13,24m,0.15773,-0.0575,154,0.2255,0,3,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-10-14,6m,0.054307,-0.0156,34,0.096003,0,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-10-14,12m,0.026375,-0.0533,75,-0.031884,1,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-10-14,24m,0.166648,-0.0586,155,0.212093,0,3,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-10-17,6m,0.054901,-0.0137,33,0.088973,0,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-10-17,12m,0.028925,-0.0526,74,-0.017084,1,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-10-17,24m,0.164919,-0.0579,155,0.19818,0,3,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-10-18,6m,0.054064,-0.0166,33,0.08856,0,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-10-18,12m,0.027815,-0.0527,74,-0.00946,1,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-10-18,24m,0.159133,-0.058,157,0.196002,0,3,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-10-19,6m,0.04762,-0.0153,36,0.07779,0,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-10-19,12m,0.030285,-0.0526,74,-0.001748,1,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-10-19,24m,0.159014,-0.058,158,0.183219,0,3,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-10-20,6m,0.04596,-0.0155,36,0.067367,0,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-10-20,12m,0.032997,-0.052,74,-0.001587,1,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-10-20,24m,0.15617,-0.0571,158,0.161806,0,3,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-10-21,6m,0.040115,-0.018,32,0.063669,0,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-10-21,12m,0.032826,-0.0521,70,-0.00063,1,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-10-21,24m,0.156337,-0.0572,156,0.155708,1,3,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-10-24,6m,0.045493,-0.0192,34,0.081344,0,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-10-24,12m,0.042363,-0.0519,72,0.02699,1,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-10-24,24m,0.164392,-0.0569,158,0.189646,0,3,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-10-25,6m,0.03141,-0.0195,32,0.084888,0,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-10-25,12m,0.027311,-0.0528,70,0.047177,0,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-10-25,24m,0.153129,-0.0579,156,0.199329,0,3,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-10-26,6m,0.046118,-0.0194,32,0.08407,0,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-10-26,12m,0.032986,-0.0533,70,0.031703,1,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-10-26,24m,0.160451,-0.0587,156,0.186451,0,3,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-10-27,6m,0.045378,-0.02,34,0.085367,0,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-10-27,12m,0.030518,-0.0531,73,0.035639,0,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-10-27,24m,0.162227,-0.0588,158,0.159247,1,3,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-10-28,6m,0.050522,-0.0198,34,0.106368,0,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-10-28,12m,0.035839,-0.0523,74,0.058426,0,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-10-28,24m,0.17549,-0.0579,158,0.182605,0,3,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-10-31,6m,0.047987,-0.0195,32,0.110467,0,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-10-31,12m,0.030723,-0.0532,72,0.047948,0,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-10-31,24m,0.169947,-0.0586,158,0.17497,0,3,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-11-01,6m,0.03382,-0.0199,32,0.071237,0,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-11-01,12m,0.01961,-0.0532,72,0.023232,0,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-11-01,24m,0.153738,-0.0584,158,0.165979,0,3,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-11-02,6m,0.037528,-0.0194,32,0.057287,0,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-11-02,12m,0.025504,-0.0531,71,0.018232,1,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-11-02,24m,0.157072,-0.0582,158,0.149191,1,3,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-11-03,6m,0.050511,-0.0192,32,0.06212,0,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-11-03,12m,0.039678,-0.0526,71,0.030263,1,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-11-03,24m,0.168581,-0.0577,158,0.169057,0,3,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-11-04,6m,0.048532,-0.0193,34,0.026854,1,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-11-04,12m,0.034824,-0.0523,75,-0.003054,1,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-11-04,24m,0.170075,-0.0575,159,0.151854,1,3,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-11-07,6m,0.032382,-0.0196,33,0.036181,0,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-11-07,12m,0.017017,-0.0535,73,-0.005968,1,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-11-07,24m,0.159934,-0.0587,157,0.14922,1,3,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-11-08,6m,0.042141,-0.0194,34,0.03674,1,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-11-08,12m,0.02022,-0.0538,77,-0.00036,1,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-11-08,24m,0.171881,-0.0592,159,0.146412,1,3,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-11-09,6m,0.042343,-0.0196,34,0.043238,0,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-11-09,12m,0.012411,-0.0529,75,0.005146,1,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-11-09,24m,0.168343,-0.0586,157,0.154761,1,3,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-11-10,6m,0.061493,-0.0195,35,0.053712,1,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-11-10,12m,0.016399,-0.0529,75,0.001482,1,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-11-10,24m,0.173893,-0.0581,157,0.174912,0,3,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-11-11,6m,0.074735,-0.0194,37,0.034597,1,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-11-11,12m,0.01712,-0.0536,76,-0.014774,1,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-11-11,24m,0.177932,-0.0585,157,0.14279,1,3,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-11-14,6m,0.048283,-0.0195,37,0.034354,1,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-11-14,12m,0.01139,-0.0534,75,-0.020969,1,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-11-14,24m,0.172467,-0.0581,157,0.151631,1,3,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-11-15,6m,0.028075,-0.0318,37,0.001057,1,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-11-15,12m,0.003877,-0.0546,75,-0.045169,1,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-11-15,24m,0.168149,-0.0583,157,0.129542,1,3,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-11-16,6m,0.036787,-0.035,38,-0.002454,1,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-11-16,12m,0.017226,-0.054,75,-0.039366,1,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-11-16,24m,0.185204,-0.0577,157,0.14629,1,3,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-11-17,6m,0.026095,-0.0363,39,-0.004437,1,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-11-17,12m,0.006709,-0.0547,76,-0.045193,1,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-11-17,24m,0.180248,-0.0585,159,0.124231,1,3,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-11-18,6m,0.028941,-0.0365,39,0.002492,1,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-11-18,12m,0.009019,-0.0555,76,-0.040203,1,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-11-18,24m,0.189059,-0.0595,161,0.119499,1,3,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-11-21,6m,0.037792,-0.0363,40,0.006709,1,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-11-21,12m,0.01458,-0.0546,77,-0.032975,1,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-11-21,24m,0.193678,-0.0588,161,0.122605,1,3,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-11-22,6m,0.03447,-0.0364,39,0.017674,1,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-11-22,12m,0.011303,-0.0547,76,-0.031036,1,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-11-22,24m,0.189226,-0.059,161,0.135737,1,3,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-11-23,6m,0.031969,-0.0365,38,0.011267,1,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-11-23,12m,0.000529,-0.0596,75,-0.048827,1,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-11-23,24m,0.177019,-0.0596,160,0.133961,1,3,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-11-24,6m,0.030814,-0.0363,39,0.018007,1,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-11-24,12m,0.004374,-0.0588,76,-0.042886,1,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-11-24,24m,0.174115,-0.0588,160,0.136443,1,3,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-11-25,6m,0.028916,-0.0362,39,0.030758,0,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-11-25,12m,-0.002532,-0.0585,75,-0.044715,1,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-11-25,24m,0.179769,-0.0585,160,0.130432,1,3,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-11-28,6m,0.034237,-0.0361,34,0.038089,0,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-11-28,12m,0.006632,-0.0583,70,-0.032322,1,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-11-28,24m,0.18048,-0.0583,156,0.149311,1,3,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-11-29,6m,0.042279,-0.0358,36,0.004753,1,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-11-29,12m,0.021069,-0.0578,73,-0.045362,1,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-11-29,24m,0.192949,-0.0578,158,0.121984,1,3,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-11-30,6m,0.028798,-0.0363,33,0.0042,1,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-11-30,12m,0.009078,-0.059,70,-0.042861,1,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-11-30,24m,0.180466,-0.059,155,0.129999,1,3,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-12-01,6m,0.033504,-0.0365,34,-0.010517,1,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-12-01,12m,0.018215,-0.0596,72,-0.065084,1,0,YELLOW,chop
L,COMPOSITE-CE-01,x1,2022-12-01,24m,0.18709,-0.0596,156,0.114576,1,3,YELLOW,chop
