leg,trader,face,start,window,ret,dd,n_trades,passive,beat,events_n,regime_state,segment
L,COMPOSITE-CE-01,x1,2021-02-05,12m,0.058158,-0.0333,75,-0.127157,1,9,YELLOW,chop
L,COMPOSITE-CE-01,x1,2021-02-05,24m,-0.087253,-0.1703,146,-0.158439,1,12,YELLOW,chop
L,COMPOSITE-CE-01,x1,2021-02-08,6m,0.003916,-0.0368,37,-0.052266,1,7,YELLOW,chop
L,COMPOSITE-CE-01,x1,2021-02-08,12m,0.042679,-0.0368,73,-0.131499,1,9,YELLOW,chop
L,COMPOSITE-CE-01,x1,2021-02-08,24m,-0.072316,-0.1696,144,-0.175434,1,12,YELLOW,chop
L,COMPOSITE-CE-01,x1,2021-02-09,6m,0.006334,-0.0367,37,-0.088561,1,7,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-02-09,12m,0.040827,-0.0367,73,-0.147128,1,9,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-02-09,24m,-0.069654,-0.1696,144,-0.188336,1,12,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-02-10,6m,-0.008112,-0.042,39,-0.091095,1,7,YELLOW,chop
L,COMPOSITE-CE-01,x1,2021-02-10,12m,0.028879,-0.042,76,-0.150397,1,9,YELLOW,chop
L,COMPOSITE-CE-01,x1,2021-02-10,24m,-0.064578,-0.1679,145,-0.200454,1,12,YELLOW,chop
L,COMPOSITE-CE-01,x1,2021-02-18,6m,-0.009122,-0.0338,38,-0.092766,1,7,YELLOW,chop
L,COMPOSITE-CE-01,x1,2021-02-18,12m,0.043232,-0.0338,76,-0.156989,1,9,YELLOW,chop
L,COMPOSITE-CE-01,x1,2021-02-18,24m,-0.067541,-0.1701,145,-0.202965,1,12,YELLOW,chop
L,COMPOSITE-CE-01,x1,2021-02-19,6m,-0.00811,-0.0347,38,-0.102112,1,7,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-02-19,12m,0.042905,-0.0347,78,-0.163391,1,9,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-02-19,24m,-0.063855,-0.1696,145,-0.214882,1,12,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-02-22,6m,0.01187,-0.0334,38,-0.071862,1,7,GREEN,bull
