name,family,exit_regime,status,n_trades,oos_trades,annual_return,sharpe,max_drawdown,win_rate,oos_sharpe,oos_annual_return,oos_max_drawdown,i_bar,vi_bar,g1_pass,sleeve_tag,x2_full_sharpe,x2_oos_sharpe,max_corr,note
rand_ce_p0.05_s27,random_baseline,ce,ok,561,173,-0.0003,0.0541,-0.3208,0.59,0.5257,0.0424,-0.0741,,,,,,,,p=0.05 seed=41077
rand_ce_p0.05_s28,random_baseline,ce,ok,594,184,-0.0115,-0.1203,-0.2721,0.5875,0.3539,0.027,-0.1111,,,,,,,,p=0.05 seed=41078
rand_ce_p0.05_s29,random_baseline,ce,ok,618,167,-0.0477,-0.42,-0.3785,0.555,0.1557,0.0114,-0.1474,,,,,,,,p=0.05 seed=41079
rand_ce_p0.05_s30,random_baseline,ce,ok,597,164,0.0304,0.4432,-0.142,0.6164,0.5487,0.0357,-0.0538,,,,,,,,p=0.05 seed=41080
rand_ce_p0.05_s31,random_baseline,ce,ok,589,179,0.022,0.3483,-0.2269,0.601,1.3434,0.0957,-0.0662,,,,,,,,p=0.05 seed=41081
rand_ce_p0.05_s32,random_baseline,ce,ok,604,174,0.0199,0.3172,-0.1344,0.6325,1.1697,0.0878,-0.0507,,,,,,,,p=0.05 seed=41082
rand_ce_p0.05_s33,random_baseline,ce,ok,572,167,-0.0131,-0.1386,-0.2156,0.5857,0.2762,0.0202,-0.0714,,,,,,,,p=0.05 seed=41083
rand_ce_p0.05_s34,random_baseline,ce,ok,596,174,0.0094,0.1447,-0.2844,0.6074,0.8975,0.064,-0.0789,,,,,,,,p=0.05 seed=41084
rand_ce_p0.05_s35,random_baseline,ce,ok,531,170,-0.0337,-0.3518,-0.3539,0.5763,0.0477,-0.0012,-0.1312,,,,,,,,p=0.05 seed=41085
rand_ce_p0.05_s36,random_baseline,ce,ok,557,168,-0.0104,-0.0875,-0.2408,0.5961,0.5992,0.0515,-0.0862,,,,,,,,p=0.05 seed=41086
rand_ce_p0.05_s37,random_baseline,ce,ok,539,175,-0.0254,-0.2736,-0.2691,0.5733,0.2503,0.0213,-0.1266,,,,,,,,p=0.05 seed=41087
rand_ce_p0.05_s38,random_baseline,ce,ok,567,170,-0.0164,-0.1532,-0.2516,0.6067,0.6533,0.0546,-0.0874,,,,,,,,p=0.05 seed=41088
rand_ce_p0.05_s39,random_baseline,ce,ok,571,164,0.022,0.3731,-0.1623,0.6042,1.0086,0.0677,-0.0544,,,,,,,,p=0.05 seed=41089
rand_ce_p0.05_s40,random_baseline,ce,ok,615,172,-0.0188,-0.1624,-0.3909,0.5805,1.0975,0.1058,-0.0691,,,,,,,,p=0.05 seed=41090
rand_ce_p0.05_s41,random_baseline,ce,ok,637,177,0.0336,0.4509,-0.1687,0.5965,1.1775,0.0678,-0.055,,,,,,,,p=0.05 seed=41091
rand_ce_p0.05_s42,random_baseline,ce,ok,586,173,0.024,0.3229,-0.1761,0.5939,1.1247,0.0763,-0.0654,,,,,,,,p=0.05 seed=41092
rand_ce_p0.05_s43,random_baseline,ce,ok,552,163,-0.0253,-0.2617,-0.2663,0.5725,0.1496,0.0097,-0.1185,,,,,,,,p=0.05 seed=41093
rand_ce_p0.05_s44,random_baseline,ce,ok,597,167,0.0186,0.3112,-0.1203,0.6164,0.4435,0.0311,-0.0647,,,,,,,,p=0.05 seed=41094
rand_ce_p0.05_s45,random_baseline,ce,ok,540,173,0.0172,0.248,-0.1965,0.6074,1.3563,0.0969,-0.0503,,,,,,,,p=0.05 seed=41095
rand_ce_p0.05_s46,random_baseline,ce,ok,581,168,-0.0052,-0.0172,-0.2517,0.611,0.8403,0.0644,-0.0639,,,,,,,,p=0.05 seed=41096
rand_ce_p0.05_s47,random_baseline,ce,ok,558,177,-0.0062,-0.0385,-0.2572,0.6039,0.74,0.0614,-0.0551,,,,,,,,p=0.05 seed=41097
rand_ce_p0.05_s48,random_baseline,ce,ok,547,165,0.0013,0.0545,-0.2252,0.6069,0.655,0.0469,-0.0506,,,,,,,,p=0.05 seed=41098
rand_ce_p0.05_s49,random_baseline,ce,ok,575,172,0.0216,0.3064,-0.124,0.6035,0.0929,0.0042,-0.098,,,,,,,,p=0.05 seed=41099
ew48_buyhold,passive_null,none,ok,0,0,0.038,0.3004,-0.3843,,0.7101,0.1202,-0.1677,,,,,,,"J8 formula, consistency info"
ew48_monthly_rebal,passive_null,none,ok,0,0,0.0521,0.3792,-0.3652,,0.8051,0.1306,-0.116,,,,,,,"J8 formula, consistency info"
