name,trigger,entry_mode,exit_regime,cost_face,status,n_trades,n_entries,annual_return,sharpe,max_drawdown,oos_sharpe,oos_annual_return,stop_bite_rate,skill_line,g1_pass,d6_registered_ok,d6_same_batch,delta_sharpe,delta_max_drawdown,delta_stop_bite,note
rand_default_p0.05_s27,,default,x1,ok,,,0.0051,0.0998,-0.2807,0.7797,0.0697,,,,,,,,p=0.05 seed=56527
rand_default_p0.05_s28,,default,x1,ok,,,0.0338,0.5406,-0.1444,1.3543,0.097,,,,,,,,p=0.05 seed=56528
rand_default_p0.05_s29,,default,x1,ok,,,0.0141,0.1903,-0.1431,0.3124,0.0203,,,,,,,,p=0.05 seed=56529
rand_default_p0.05_s30,,default,x1,ok,,,-0.0143,-0.141,-0.2276,0.3372,0.0249,,,,,,,,p=0.05 seed=56530
rand_default_p0.05_s31,,default,x1,ok,,,0.0102,0.1558,-0.2335,0.6269,0.0429,,,,,,,,p=0.05 seed=56531
rand_default_p0.05_s32,,default,x1,ok,,,-0.0342,-0.3556,-0.2514,0.0621,0.0008,,,,,,,,p=0.05 seed=56532
rand_default_p0.05_s33,,default,x1,ok,,,-0.0485,-0.4437,-0.3683,0.1111,0.0061,,,,,,,,p=0.05 seed=56533
rand_default_p0.05_s34,,default,x1,ok,,,0.0384,0.4248,-0.1918,0.9197,0.0616,,,,,,,,p=0.05 seed=56534
rand_default_p0.05_s35,,default,x1,ok,,,0.0078,0.1309,-0.2584,0.3913,0.0276,,,,,,,,p=0.05 seed=56535
rand_default_p0.05_s36,,default,x1,ok,,,0.0068,0.1273,-0.1928,0.8154,0.0684,,,,,,,,p=0.05 seed=56536
rand_default_p0.05_s37,,default,x1,ok,,,-0.0074,-0.0642,-0.207,0.0803,0.0032,,,,,,,,p=0.05 seed=56537
rand_default_p0.05_s38,,default,x1,ok,,,0.0,0.0378,-0.2048,0.3776,0.0291,,,,,,,,p=0.05 seed=56538
rand_default_p0.05_s39,,default,x1,ok,,,0.017,0.2797,-0.1725,1.0459,0.0753,,,,,,,,p=0.05 seed=56539
rand_default_p0.05_s40,,default,x1,ok,,,0.0185,0.2572,-0.2046,0.5419,0.0363,,,,,,,,p=0.05 seed=56540
rand_default_p0.05_s41,,default,x1,ok,,,-0.0099,-0.0708,-0.2928,1.121,0.0939,,,,,,,,p=0.05 seed=56541
rand_default_p0.05_s42,,default,x1,ok,,,0.0014,0.0555,-0.1815,0.3055,0.0222,,,,,,,,p=0.05 seed=56542
rand_default_p0.05_s43,,default,x1,ok,,,-0.0415,-0.3519,-0.4192,0.8541,0.0932,,,,,,,,p=0.05 seed=56543
rand_default_p0.05_s44,,default,x1,ok,,,0.0033,0.0835,-0.3331,0.643,0.0517,,,,,,,,p=0.05 seed=56544
rand_default_p0.05_s45,,default,x1,ok,,,0.0148,0.2265,-0.2079,1.536,0.1298,,,,,,,,p=0.05 seed=56545
rand_default_p0.05_s46,,default,x1,ok,,,0.0039,0.0895,-0.23,0.5671,0.0417,,,,,,,,p=0.05 seed=56546
rand_default_p0.05_s47,,default,x1,ok,,,-0.007,-0.0413,-0.2764,0.495,0.039,,,,,,,,p=0.05 seed=56547
rand_default_p0.05_s48,,default,x1,ok,,,-0.0132,-0.1311,-0.259,0.7262,0.0648,,,,,,,,p=0.05 seed=56548
rand_default_p0.05_s49,,default,x1,ok,,,-0.0129,-0.1283,-0.245,0.4894,0.0391,,,,,,,,p=0.05 seed=56549
rand_ce_p0.02_s0,,ce,x1,ok,,,0.0211,0.2557,-0.1358,0.0546,0.0012,,,,,,,,p=0.02 seed=56550
rand_ce_p0.02_s1,,ce,x1,ok,,,0.0073,0.1425,-0.1283,0.4412,0.0299,,,,,,,,p=0.02 seed=56551
rand_ce_p0.02_s2,,ce,x1,ok,,,-0.0091,-0.0861,-0.1344,-0.401,-0.0383,,,,,,,,p=0.02 seed=56552
rand_ce_p0.02_s3,,ce,x1,ok,,,-0.0025,0.0031,-0.2113,0.097,0.0046,,,,,,,,p=0.02 seed=56553
