member,kind,point,regime,full_sharpe,oos_sharpe,n_trades,verdict
PROS-IMM-01,nbhd,"{""shadow_pct"": 0.02}",default,0.0218,0.3018,500,RED
PROS-IMM-01,center,,default,0.0447,0.432,906,anchor=OK worst_year=-0.1194
PROS-IMM-01,x3,,default,-0.5009,-0.1608,906,
PROS-IMM-CE-01,nbhd,"{""shadow_pct"": 0.01}",ce,0.1347,1.3132,1202,RED
PROS-IMM-CE-01,nbhd,"{""shadow_pct"": 0.02}",ce,-0.0636,0.2625,432,RED
PROS-IMM-CE-01,center,,ce,0.0208,0.3595,791,anchor=OK worst_year=-0.1183
PROS-IMM-CE-01,x3,,ce,-0.4574,-0.1528,791,
PROS-MCB-01,nbhd,"{""spread"": 0.01}",default,0.2348,0.8027,1173,RED
PROS-MCB-01,nbhd,"{""spread"": 0.02}",default,0.1823,0.5866,1355,RED
PROS-MCB-01,center,,default,0.2822,0.7651,1279,anchor=OK worst_year=-0.0588
PROS-MCB-01,x3,,default,-0.9912,-0.6808,1279,
PROS-MCB-CE-01,nbhd,"{""spread"": 0.01}",ce,0.3232,1.0814,1021,RED
PROS-MCB-CE-01,nbhd,"{""spread"": 0.02}",ce,0.2193,0.7196,1175,RED
PROS-MCB-CE-01,center,,ce,0.337,0.9458,1107,anchor=OK worst_year=-0.0437
PROS-MCB-CE-01,x3,,ce,-0.805,-0.3249,1107,
PROS-OVB-01,nbhd,"{""drop"": -0.1}",default,-0.0005,0.6991,310,RED
PROS-OVB-01,nbhd,"{""drop"": -0.2}",default,0.0516,-0.1648,39,RED
PROS-OVB-01,nbhd,"{""lookback"": 15}",default,0.5966,0.3347,68,green
PROS-OVB-01,nbhd,"{""lookback"": 25}",default,0.5081,0.7147,118,green
PROS-OVB-01,nbhd,"{""shrink"": 0.7}",default,0.2954,-0.5028,60,RED
PROS-OVB-01,nbhd,"{""shrink"": 0.9}",default,0.552,0.8278,196,green
PROS-OVB-01,center,,default,0.3318,0.4749,119,anchor=OK worst_year=-0.0182
PROS-OVB-01,x3,,default,-0.0519,0.0562,119,
PROS-OVB-CE-01,nbhd,"{""drop"": -0.1}",ce,0.0296,0.7222,305,RED
PROS-OVB-CE-01,nbhd,"{""drop"": -0.2}",ce,0.0596,-0.1648,37,RED
PROS-OVB-CE-01,nbhd,"{""lookback"": 15}",ce,0.6017,0.3347,67,green
PROS-OVB-CE-01,nbhd,"{""lookback"": 25}",ce,0.5238,0.7146,115,green
PROS-OVB-CE-01,nbhd,"{""shrink"": 0.7}",ce,0.3013,-0.5028,59,RED
PROS-OVB-CE-01,nbhd,"{""shrink"": 0.9}",ce,0.5804,0.8739,190,green
PROS-OVB-CE-01,center,,ce,0.335,0.4749,115,anchor=OK worst_year=-0.0176
PROS-OVB-CE-01,x3,,ce,-0.0363,0.0562,115,
PROS-RSRS-CE-01,nbhd,"{""buy_z"": 0.7}",ce,-0.0021,0.8346,664,RED
PROS-RSRS-CE-01,nbhd,"{""buy_z"": 0.9}",ce,0.0941,0.8395,662,RED
PROS-RSRS-CE-01,nbhd,"{""exit_z"": -0.7}",ce,-0.0317,0.7848,670,RED
PROS-RSRS-CE-01,nbhd,"{""exit_z"": -0.9}",ce,-0.0482,0.8128,652,RED
PROS-RSRS-CE-01,nbhd,"{""window"": 12}",ce,-0.2892,0.9154,718,RED
PROS-RSRS-CE-01,nbhd,"{""window"": 24}",ce,-0.0669,0.6611,610,RED
PROS-RSRS-CE-01,nbhd,"{""z_win"": 120}",ce,0.0882,0.5064,720,RED
