factor,status,skip_reason,compute_s,h5_full_ic,h5_full_ir,h5_full_n,h5_is_ic,h5_is_ir,h5_is_n,h5_oos_ic,h5_oos_ir,h5_oos_n,h5_pass,h5_strong,h10_full_ic,h10_full_ir,h10_full_n,h10_is_ic,h10_is_ir,h10_is_n,h10_oos_ic,h10_oos_ir,h10_oos_n,h10_pass,h10_strong,h20_full_ic,h20_full_ir,h20_full_n,h20_is_ic,h20_is_ir,h20_is_n,h20_oos_ic,h20_oos_ir,h20_oos_n,h20_pass,h20_strong,in_pool,strong_tier,h10_v1,h10_v2,h10_v3,h10_strict_all
alpha191_021,ok,,0.01,0.0102,0.034,1616,0.002,0.007,1202,0.0339,0.106,414,False,False,0.0074,0.026,1611,0.0002,0.001,1202,0.0284,0.095,409,False,False,0.016,0.059,1601,0.0072,0.027,1202,0.0424,0.143,399,False,False,False,False,False,False,True,False
alpha191_116,ok,,0.01,0.0121,0.041,1607,0.0038,0.013,1193,0.0359,0.113,414,False,False,0.0209,0.073,1602,0.0154,0.056,1193,0.0368,0.118,409,True,True,0.0259,0.092,1592,0.0129,0.048,1193,0.0646,0.21,399,True,True,True,True,False,False,True,False
alpha191_147,ok,,0.01,0.0095,0.032,1604,0.0043,0.015,1190,0.0244,0.077,414,False,False,0.02,0.07,1599,0.0161,0.059,1190,0.0312,0.099,409,True,True,0.0241,0.085,1589,0.0131,0.048,1190,0.057,0.184,399,True,True,True,True,False,False,True,False
