factor,status,skip_reason,compute_s,h5_full_ic,h5_full_ir,h5_full_n,h5_is_ic,h5_is_ir,h5_is_n,h5_oos_ic,h5_oos_ir,h5_oos_n,h5_pass,h5_strong,h10_full_ic,h10_full_ir,h10_full_n,h10_is_ic,h10_is_ir,h10_is_n,h10_oos_ic,h10_oos_ir,h10_oos_n,h10_pass,h10_strong,h20_full_ic,h20_full_ir,h20_full_n,h20_is_ic,h20_is_ir,h20_is_n,h20_oos_ic,h20_oos_ir,h20_oos_n,h20_pass,h20_strong,in_pool,strong_tier,h10_v1,h10_v2,h10_v3,h10_strict_all
alpha020,ok,,0.05,0.0096,0.039,1625,0.017,0.074,1211,-0.0122,-0.044,414,False,False,0.0061,0.025,1620,0.0126,0.055,1211,-0.0131,-0.047,409,False,False,0.0012,0.005,1610,0.006,0.026,1211,-0.0134,-0.048,399,False,False,False,False,False,False,False,False
alpha021,ok,,0.06,0.0015,0.007,1616,0.0096,0.044,1203,-0.022,-0.103,413,False,False,-0.0039,-0.017,1611,-0.0012,-0.005,1203,-0.0119,-0.052,408,False,False,-0.0118,-0.053,1601,-0.0109,-0.05,1203,-0.0145,-0.063,398,True,True,True,True,False,False,True,False
alpha022,ok,,0.09,-0.0032,-0.016,1607,-0.0081,-0.043,1193,0.0109,0.047,414,False,False,0.0036,0.018,1602,0.0023,0.012,1193,0.0074,0.032,409,False,False,0.0012,0.006,1592,-0.0,-0.0,1193,0.0051,0.024,399,False,False,False,False,False,False,True,False
alpha023,ok,,0.01,0.003,0.012,1607,0.0054,0.021,1193,-0.004,-0.015,414,False,False,-0.0028,-0.011,1602,0.0032,0.013,1193,-0.0204,-0.076,409,False,False,-0.0053,-0.022,1592,-0.0006,-0.002,1193,-0.0197,-0.075,399,False,False,False,False,False,False,False,False
alpha024,ok,,0.03,-0.0122,-0.049,1427,-0.0116,-0.048,1013,-0.0135,-0.051,414,False,False,-0.0119,-0.047,1422,-0.0027,-0.011,1013,-0.0348,-0.125,409,False,False,0.0022,0.009,1412,0.0137,0.061,1013,-0.0271,-0.106,399,False,False,False,False,False,False,True,False
alpha025,ok,,0.03,-0.0029,-0.01,1607,-0.0008,-0.003,1193,-0.0087,-0.03,414,False,False,-0.01,-0.036,1602,-0.0052,-0.02,1193,-0.0238,-0.078,409,False,False,-0.0046,-0.017,1592,-0.0001,-0.0,1193,-0.0179,-0.064,399,False,False,False,False,False,False,True,False
alpha026,ok,,1.48,0.0055,0.027,1616,0.0054,0.027,1202,0.0055,0.027,414,False,False,0.0126,0.063,1611,0.0149,0.074,1202,0.0059,0.03,409,True,False,0.018,0.092,1601,0.0258,0.133,1202,-0.0055,-0.027,399,False,False,True,False,False,False,False,False
alpha027,ok,,0.1,0.0005,0.003,1620,-0.0017,-0.011,1206,0.0072,0.04,414,False,False,0.0042,0.026,1615,0.0072,0.044,1206,-0.0046,-0.028,409,False,False,0.0139,0.083,1605,0.017,0.101,1206,0.0042,0.025,399,True,False,True,False,False,False,False,False
alpha028,ok,,0.06,0.0043,0.02,1603,0.0009,0.004,1189,0.014,0.064,414,False,False,0.0029,0.014,1598,-0.0039,-0.019,1189,0.0229,0.11,409,False,False,-0.0071,-0.035,1588,-0.023,-0.114,1189,0.0402,0.206,399,False,False,False,False,False,False,False,False
alpha029,ok,,0.86,-0.0143,-0.052,1615,-0.0106,-0.039,1201,-0.0248,-0.089,414,False,False,-0.0079,-0.03,1610,-0.0051,-0.019,1201,-0.0163,-0.062,409,False,False,-0.0131,-0.05,1600,-0.0098,-0.037,1201,-0.0232,-0.09,399,False,False,False,False,False,False,True,False
alpha030,ok,,0.04,0.0041,0.016,1607,0.0075,0.03,1193,-0.0059,-0.024,414,False,False,-0.0076,-0.03,1602,-0.0054,-0.021,1193,-0.0139,-0.056,409,False,False,-0.0033,-0.013,1592,-0.001,-0.004,1193,-0.0101,-0.041,399,False,False,False,False,False,False,True,False
alpha031,ok,,0.19,-0.0023,-0.01,1596,-0.0024,-0.011,1182,-0.0019,-0.009,414,False,False,-0.0158,-0.074,1591,-0.0151,-0.071,1182,-0.0177,-0.082,409,True,True,-0.0232,-0.11,1581,-0.0304,-0.142,1182,-0.0017,-0.009,399,True,False,True,True,False,False,True,False
alpha032,ok,,0.08,0.0048,0.021,1392,0.0045,0.02,978,0.0054,0.024,414,False,False,0.0036,0.016,1387,0.0001,0.0,978,0.0122,0.052,409,False,False,0.0171,0.078,1377,0.0129,0.059,978,0.0274,0.124,399,True,True,True,True,False,False,True,False
alpha033,ok,,0.02,-0.0082,-0.025,1626,-0.0114,-0.035,1212,0.0015,0.004,414,False,False,-0.0144,-0.044,1621,-0.0098,-0.031,1212,-0.0279,-0.082,409,False,False,-0.0121,-0.038,1611,-0.01,-0.031,1212,-0.0186,-0.058,399,False,False,False,False,False,False,True,False
alpha034,ok,,0.09,-0.0054,-0.021,1621,-0.0057,-0.023,1207,-0.0044,-0.017,414,False,False,-0.0054,-0.022,1616,0.001,0.004,1207,-0.0244,-0.092,409,False,False,-0.0037,-0.015,1606,0.002,0.008,1207,-0.0208,-0.083,399,False,False,False,False,False,False,False,False
alpha035,ok,,2.26,-0.0194,-0.075,1594,-0.0164,-0.064,1180,-0.0281,-0.106,414,True,True,-0.0232,-0.091,1589,-0.0207,-0.082,1180,-0.0302,-0.113,409,True,True,-0.0265,-0.104,1579,-0.0246,-0.098,1180,-0.0321,-0.12,399,True,True,True,True,True,False,True,False
alpha036,ok,,0.94,0.0165,0.08,1427,0.0045,0.022,1013,0.0458,0.223,414,False,False,0.0046,0.022,1422,-0.0028,-0.014,1013,0.023,0.111,409,False,False,0.0069,0.034,1412,0.0038,0.018,1013,0.0148,0.075,399,False,False,False,False,False,False,False,False
alpha037,ok,,0.1,0.0023,0.009,1426,0.0014,0.006,1012,0.0045,0.017,414,False,False,0.0019,0.008,1421,0.0002,0.001,1012,0.0062,0.024,409,False,False,0.0097,0.039,1411,0.0025,0.01,1012,0.0279,0.106,399,False,False,False,False,False,False,True,False
alpha038,ok,,0.76,-0.0115,-0.037,1617,-0.0097,-0.031,1203,-0.0169,-0.053,414,False,False,-0.0201,-0.066,1612,-0.012,-0.04,1203,-0.0439,-0.139,409,False,False,-0.023,-0.076,1602,-0.0153,-0.051,1203,-0.0461,-0.148,399,True,True,True,True,False,False,True,False
alpha039,ok,,0.09,-0.0227,-0.082,1376,-0.0125,-0.047,962,-0.0464,-0.158,414,False,False,-0.0234,-0.087,1371,-0.0175,-0.066,962,-0.0373,-0.135,409,True,True,-0.0362,-0.133,1361,-0.0316,-0.12,962,-0.0472,-0.163,399,True,True,True,True,False,False,True,False
alpha040,ok,,0.08,0.0232,0.108,1617,0.0294,0.143,1203,0.0053,0.022,414,True,False,0.0186,0.086,1612,0.0277,0.134,1203,-0.0084,-0.036,409,False,False,0.0219,0.101,1602,0.0378,0.185,1203,-0.0259,-0.106,399,False,False,True,False,True,False,False,False
alpha041,ok,,0.0,-0.0199,-0.083,1626,-0.0195,-0.083,1212,-0.021,-0.083,414,True,True,-0.0162,-0.069,1621,-0.0133,-0.058,1212,-0.0247,-0.1,409,True,True,-0.0062,-0.026,1611,-0.0065,-0.028,1212,-0.0054,-0.022,399,False,False,True,True,False,False,True,False
alpha042,ok,,0.04,-0.0211,-0.078,1626,-0.0169,-0.061,1212,-0.0334,-0.13,414,True,True,-0.0262,-0.098,1621,-0.019,-0.071,1212,-0.0474,-0.184,409,True,True,-0.0262,-0.1,1611,-0.0166,-0.064,1212,-0.0554,-0.202,399,True,True,True,True,False,False,True,False
alpha043,ok,,1.57,0.0002,0.001,1588,0.008,0.034,1174,-0.0218,-0.095,414,False,False,0.0077,0.033,1583,0.0113,0.049,1174,-0.0028,-0.012,409,False,False,0.0107,0.047,1573,0.0108,0.048,1174,0.0101,0.044,399,True,True,True,True,False,False,False,False
alpha044,ok,,0.05,0.0118,0.069,1622,0.011,0.064,1208,0.0144,0.082,414,True,True,0.0102,0.06,1617,0.0184,0.109,1208,-0.014,-0.08,409,False,False,0.0183,0.106,1607,0.0289,0.167,1208,-0.0138,-0.083,399,False,False,True,True,False,False,False,False
alpha045,ok,,0.14,-0.0049,-0.028,1602,-0.0069,-0.04,1188,0.001,0.006,414,False,False,-0.0004,-0.003,1597,0.0011,0.006,1188,-0.0048,-0.027,409,False,False,-0.0001,-0.0,1587,0.0025,0.015,1188,-0.0077,-0.044,399,False,False,False,False,False,False,False,False
alpha046,ok,,0.0,0.0067,0.025,1604,0.0105,0.039,1190,-0.0042,-0.015,414,False,False,0.0045,0.017,1599,0.0115,0.045,1190,-0.0159,-0.057,409,False,False,-0.005,-0.019,1589,-0.0007,-0.003,1190,-0.0179,-0.064,399,False,False,False,False,False,False,False,False
alpha047,ok,,0.08,-0.0113,-0.04,1607,-0.0074,-0.027,1193,-0.0223,-0.077,414,False,False,-0.0151,-0.054,1602,-0.0136,-0.05,1193,-0.0194,-0.065,409,False,False,-0.0224,-0.084,1592,-0.0211,-0.08,1193,-0.0264,-0.093,399,True,True,True,True,False,False,True,False
alpha049,ok,,0.0,-0.0011,-0.004,1606,0.0013,0.005,1192,-0.0081,-0.028,414,False,False,-0.0057,-0.021,1601,0.0006,0.002,1192,-0.024,-0.08,409,False,False,-0.004,-0.015,1591,0.0013,0.005,1192,-0.0198,-0.07,399,False,False,False,False,False,False,False,False
alpha050,ok,,0.1,0.0042,0.025,1618,0.0085,0.051,1204,-0.0082,-0.047,414,False,False,0.0004,0.002,1613,0.0042,0.025,1204,-0.0109,-0.068,409,False,False,0.0094,0.056,1603,0.0145,0.085,1204,-0.0059,-0.036,399,False,False,False,False,False,False,False,False
alpha051,ok,,0.0,-0.0005,-0.002,1606,0.0018,0.007,1192,-0.0072,-0.025,414,False,False,-0.0042,-0.016,1601,0.0026,0.01,1192,-0.024,-0.082,409,False,False,-0.003,-0.011,1591,0.0036,0.014,1192,-0.0228,-0.081,399,False,False,False,False,False,False,False,False
alpha052,ok,,0.86,-0.0071,-0.026,1386,0.0096,0.037,972,-0.0465,-0.149,414,False,False,-0.0129,-0.047,1381,-0.002,-0.008,972,-0.039,-0.125,409,False,False,-0.0232,-0.088,1371,-0.0143,-0.057,972,-0.045,-0.155,399,True,True,True,True,False,False,True,False
alpha053,ok,,0.0,-0.0057,-0.02,1617,-0.0033,-0.012,1203,-0.0127,-0.045,414,False,False,-0.0052,-0.019,1612,-0.0015,-0.006,1203,-0.0161,-0.059,409,False,False,-0.0,-0.0,1602,0.0027,0.01,1203,-0.0082,-0.031,399,False,False,False,False,False,False,True,False
alpha054,ok,,0.0,-0.0014,-0.005,1626,-0.0022,-0.008,1212,0.0008,0.003,414,False,False,-0.0077,-0.029,1621,-0.0061,-0.023,1212,-0.0126,-0.048,409,False,False,-0.0065,-0.025,1611,-0.0031,-0.012,1212,-0.0167,-0.063,399,False,False,False,False,False,False,True,False
