股票代码,股票简称,净利润-净利润,净利润-同比增长,所处行业,最新公告日期
603613,国联股份,685668939.88,0.81,互联网电商,2026-08-31
603609,禾丰股份,-8479319.07,-103.64,饲料,2026-08-31
603557,*ST起步,-42710558.73,-15.0133336235,服装家纺,2026-08-31
603520,司太立,39929040.61,37.05,化学制药,2026-08-31
603496,恒为科技,22069385.66,23.88,计算机设备,2026-08-31
603429,*ST集友,-17676269.02,-1174.2924169379,包装印刷,2026-08-31
603399,永杉锂业,197793946.03,237.2906984973,能源金属,2026-08-31
603363,傲农生物,-189828495.32,-152.61,饲料,2026-08-31
603350,安乃达,46843213.99,-37.84,电机Ⅱ,2026-08-31
603326,我乐家居,50024684.43,-45.81,家居用品,2026-08-31
603316,诚邦股份,22399553.73,314.61,半导体,2026-08-31
603213,镇洋发展,2750279.76,-94.57,化学原料,2026-08-31
603188,亚邦股份,9938769.61,433.1,化学制品,2026-08-31
603186,华正新材,172929981.95,305.28,元件,2026-08-31
603185,弘元绿能,-679331292.77,-128.881898915,光伏设备,2026-08-31
603175,超颖电子,-191205672.22,-220.41,元件,2026-08-31
603172,万丰股份,33051775.93,31.45,化学制品,2026-08-31
603168,莎普爱思,19500348.44,-10.81,化学制药,2026-08-31
603126,中材节能,4464316.62,121.8359283613,环保设备Ⅱ,2026-08-31
603048,浙江黎明,26192231.99,-11.73,汽车零部件,2026-08-31
601880,辽港股份,884905146.37,-7.41,航运港口,2026-08-31
601872,招商轮船,6959500459.03,227.57,航运港口,2026-08-31
601868,中国能建,2278608000.0,-18.67,基础建设,2026-08-31
601857,中国石油,103934000000.0,22.0,炼化及贸易,2026-08-31
601816,京沪高铁,6771322401.85,7.21,铁路公路,2026-08-31
601727,上海电气,969994000.0,18.2,其他电源设备Ⅱ,2026-08-31
601717,中创智领,1603388532.86,-36.25,专用设备,2026-08-31
601636,旗滨集团,-167093374.97,-118.76,玻璃玻纤,2026-08-31
601618,中国中冶,2326127000.0,-24.95,专业工程,2026-08-31
601567,三星电气,545853641.39,-55.61,电网设备,2026-08-31
601555,东吴证券,2420493387.11,25.32,证券Ⅱ,2026-08-31
601279,英利汽车,-80847151.94,-124.9559310762,汽车零部件,2026-08-31
601236,红塔证券,510012263.35,-23.93,证券Ⅱ,2026-08-31
601162,天风证券,203752717.66,549.03,证券Ⅱ,2026-08-31
601158,重庆水务,494889297.16,4.61,环境治理,2026-08-31
601156,东航物流,1418309005.55,10.05,物流,2026-08-31
601117,中国化学,3145361317.93,1.41,专业工程,2026-08-31
601111,中国国航,-2285887000.0,-26.59,航空机场,2026-08-31
601077,渝农商行,8167854000.0,6.09,银行Ⅱ,2026-08-31
601058,赛轮轮胎,2159849687.42,17.97,汽车零部件,2026-08-31
601012,隆基绿能,-3684104428.05,-43.3861659096,光伏设备,2026-08-31
601005,重庆钢铁,-178902586.7,-36.5484722402,普钢,2026-08-31
600996,贵广网络,-547396988.08,2.6421855954,电视广播Ⅱ,2026-08-31
600988,赤峰黄金,1732292421.21,56.5,贵金属,2026-08-31
600982,宁波能源,158619869.11,12.87,电力,2026-08-31
600975,新五丰,-736116498.79,-1727.34,养殖业,2026-08-31
600916,中国黄金,279409578.39,-12.35,饰品,2026-08-31
600900,长江电力,14755694774.53,13.02,电力,2026-08-31
600855,航天长峰,-52189391.3,6.1189280931,军工电子Ⅱ,2026-08-31
600815,厦工股份,-51207713.83,-1622.5,工程机械,2026-08-31
600809,山西汾酒,6439313574.11,-24.29,白酒Ⅱ,2026-08-31
600800,渤海化学,-293359649.88,18.2115061631,炼化及贸易,2026-08-31
600793,宜宾纸业,-43632643.57,-297.75,造纸,2026-08-31
600774,汉商集团,4105360.27,153.19,化学制药,2026-08-31
600765,中航重机,443577427.04,-9.85,航空装备Ⅱ,2026-08-31
600743,华远控股,-21113491.96,6.086695979,房地产服务,2026-08-31
600739,辽宁成大,1620059624.46,125.77,生物制品,2026-08-31
600730,*ST高科,-9240269.96,-101.0893746473,教育,2026-08-31
600694,大商股份,384970787.55,0.32,一般零售,2026-08-31
600689,上海三毛,12877642.71,13.55,综合Ⅱ,2026-08-31
600679,上海凤凰,35748675.23,-25.32,摩托车及其他,2026-08-31
600668,尖峰集团,-8949524.27,-101.45,水泥,2026-08-31
600657,信达地产,-1319671114.3,64.240829627,房地产开发,2026-08-31
600649,城投控股,-51798203.24,-133.8,房地产开发,2026-08-31
600644,乐山电力,6898562.51,-12.71,电力,2026-08-31
600619,海立股份,163666630.61,390.69,家电零部件Ⅱ,2026-08-31
600597,光明乳业,250563742.0,15.34,饮料乳品,2026-08-31
600593,大连圣亚,16214297.43,201.9851252448,旅游及景区,2026-08-31
600582,天地科技,734645168.64,-64.68,专用设备,2026-08-31
600580,卧龙电驱,351612175.57,-34.55,电机Ⅱ,2026-08-31
600569,安阳钢铁,-1180922918.24,-3202.94,普钢,2026-08-31
600525,长园集团,36737982.49,110.7378024531,电网设备,2026-08-31
600516,方大炭素,170944628.83,213.47,冶钢原料,2026-08-31
600502,安徽建工,564389663.99,2.08,基础建设,2026-08-31
600491,ST龙元,-804877355.82,-1243.55,房屋建设Ⅱ,2026-08-31
600482,中国动力,1312093133.08,42.74,其他电源设备Ⅱ,2026-08-31
600397,江钨装备,1207354.76,100.4329851255,专用设备,2026-08-31
600381,*ST春天,-36095765.47,-2840.76,食品加工,2026-08-31
600337,ST美克,-501498773.78,-470.0049399215,家居用品,2026-08-31
600325,华发股份,-3654293135.73,-2225.7133542035,房地产开发,2026-08-31
600310,广西能源,124166707.55,275.110059432,电力,2026-08-31
600299,安迪苏,904848549.0,22.25,化学制品,2026-08-31
600292,电投水电,1189545817.82,123.14,电力,2026-08-31
600252,中恒集团,-48803351.6,-288.39,中药Ⅱ,2026-08-31
600208,衢州发展,169143269.77,-34.9,房地产开发,2026-08-31
600155,华创云信,238643055.16,202.65,证券Ⅱ,2026-08-31
600150,中国船舶,9953567756.53,163.51,航海装备Ⅱ,2026-08-31
600128,苏豪弘业,21848678.59,-16.91,贸易Ⅱ,2026-08-31
600115,中国东航,-2179000000.0,-52.2711390636,航空机场,2026-08-31
600098,广州发展,945907060.15,-42.15,电力,2026-08-31
600085,同仁堂,726191685.62,-23.19,中药Ⅱ,2026-08-31
600061,国投资本,2198520561.34,29.29,多元金融,2026-08-31
600031,三一重工,5690229000.0,9.13,工程机械,2026-08-31
600008,首创环保,839444514.59,-9.67,环境治理,2026-08-31
600007,中国国贸,633458596.0,0.17,房地产开发,2026-08-31
430281,能为科技,-3618900.57,-28.7940024975,,2026-08-31
430239,ST信诺达,-6768522.17,-29.24,,2026-08-31
430208,ST优炫,-57825667.56,-393.75,,2026-08-31
430152,ST思银,-7093594.45,42.93,,2026-08-31
430046,ST圣博润,-476906.77,-101.36,,2026-08-31
420120,绿庭B5,-13098244.86,-69.3,,2026-08-31
420016,金田B3,-214171.4,71.77,,2026-08-31
400298,君道5,-88070968.11,-29.96,,2026-08-31
400292,精伦5,-26959209.3,-31.8657937961,,2026-08-31
400288,奥维3,-34523826.2,61.24,,2026-08-31
400272,鹏博士3,-334186965.7,-61.1,,2026-08-31
400259,津信科3,-363995741.1,-25.23,,2026-08-31
400256,鹏都5,-322575130.53,-40.96,,2026-08-31
400246,新纶3,-234660000.85,53.66,,2026-08-31
400242,巴安3,-273847551.58,-5179.35,,2026-08-31
400232,左江5,-32080810.88,-123.36,,2026-08-31
400231,保力新3,-40972805.15,-13.14,,2026-08-31
400225,中南3,-1325500324.27,50.31,,2026-08-31
400221,太安堂3,-52351091.56,-111.53,,2026-08-31
400217,正源3,-225413464.46,-9.2311291175,,2026-08-31
400216,中资5,16291.04,-96.84,,2026-08-31
400205,泛海3,-4998207699.85,-12.72,,2026-08-31
400192,宋都5,-244740089.24,-68.44,,2026-08-31
400174,中天3,-401835497.18,-178.23,,2026-08-31
400170,运盛5,-3283140.48,-32.66,,2026-08-31
400138,欣盛5,-10416620.0,24.25,,2026-08-31
400122,域潇5,10094409.28,-11.3,,2026-08-31
400120,绿庭A5,-13098244.86,-69.3,,2026-08-31
400104,金钰3,-600818226.91,-0.01,,2026-08-31
400097,刚泰3,-547842759.77,-3129.71,,2026-08-31
400059,天珑5,89117804.41,12.98,,2026-08-31
400036,晟创5,-3443251.75,89.37,,2026-08-31
400035,比特5,-12494997.1,-318.04,,2026-08-31
400022,海洋3,-1714881.44,77.04,,2026-08-31
400016,金田A3,-214171.4,71.77,,2026-08-31
300866,安克创新,1702037215.39,45.86,消费电子,2026-08-31
002571,德力股份,-57384498.08,-26.63,家居用品,2026-08-31
002044,美年健康,-182388732.05,17.61,医疗服务,2026-08-31
900948,伊泰B股,4465844167.75,82.45,煤炭开采,2026-08-29
900943,开开B股,22225004.25,88.33,医药商业,2026-08-29
900936,鄂资B股,1415710092.09,43.19,冶钢原料,2026-08-29
900934,锦江B股,545090554.02,47.05,酒店餐饮,2026-08-29
900927,物贸B股,10425352.03,-29.81,汽车服务,2026-08-29
900923,百联B股,912821131.65,191.61,一般零售,2026-08-29
900904,神奇B股,21965609.87,-33.05,化学制药,2026-08-29
900903,大众B股,-168312474.73,-321.3,铁路公路,2026-08-29
688825,长鑫科技,77605227520.0,3427.7569143657,半导体,2026-08-29
688816,易思维,-37098212.09,-627.538975852,自动化设备,2026-08-29
688777,中控技术,155085480.73,-56.2,自动化设备,2026-08-29
688767,博拓生物,-16552564.41,-233.46,医疗器械,2026-08-29
688737,中自科技,-65442425.9,-449.0255330439,汽车零部件,2026-08-29
688729,屹唐股份,395684816.41,13.77,半导体,2026-08-29
688722,同益中,69719842.18,4.88,化学纤维,2026-08-29
688716,中研股份,-12963513.49,-284.48,塑料,2026-08-29
688711,宏微科技,3985682.16,33.84,半导体,2026-08-29
688709,成都华微,-121546182.47,-440.27,半导体,2026-08-29
688701,卓锦股份,-29987900.06,-58.5118536836,环境治理,2026-08-29
688696,极米科技,83186474.39,-6.18,黑色家电,2026-08-29
688681,科汇股份,13865600.56,-14.06,电网设备,2026-08-29
688671,碧兴物联,-30556607.32,-27.781092433,环保设备Ⅱ,2026-08-29
688652,京仪装备,91850215.13,2.05,半导体,2026-08-29
688651,盛邦安全,-40510516.06,-11.268133885,软件开发,2026-08-29
688633,星球石墨,125149117.79,168.18,专用设备,2026-08-29
688629,华丰科技,147338751.4,-2.23,军工电子Ⅱ,2026-08-29
688626,翔宇医疗,39656233.75,12.04,医疗器械,2026-08-29
688621,阳光诺和,-24400035.33,-118.79,医疗服务,2026-08-29
688613,奥精医疗,2754582.86,-65.46,医疗器械,2026-08-29
688611,杭州柯林,-21810999.18,-222.14,电网设备,2026-08-29
688606,奥泰生物,50844708.31,-61.48,医疗器械,2026-08-29
688603,天承科技,61609005.9,67.72,电子化学品Ⅱ,2026-08-29
688601,力芯微,-4010666.24,-124.04,半导体,2026-08-29
688576,西山科技,-25461271.82,-174.05,医疗器械,2026-08-29
688567,孚能科技,-396930598.78,-145.0731513556,电池,2026-08-29
688565,力源科技,4192622.25,49.9,环境治理,2026-08-29
688535,华海诚科,39684495.16,188.1,半导体,2026-08-29
688530,欧莱新材,69433821.01,1097.7825601388,半导体,2026-08-29
688520,神州细胞,-365692359.54,-982.856050629,生物制品,2026-08-29
688519,南亚新材,461065617.47,428.8,元件,2026-08-29
688515,裕太微,-73442391.76,29.5232759147,半导体,2026-08-29
688511,天微电子,1632496.78,-94.12,军工电子Ⅱ,2026-08-29
688502,茂莱光学,-13416217.52,-140.96,光学光电子,2026-08-29
688498,源杰科技,607072892.98,1212.2,半导体,2026-08-29
688489,三未信安,-12561566.02,57.2529571915,计算机设备,2026-08-29
688488,艾迪药业,22934073.66,149.53,生物制品,2026-08-29
688455,科捷智能,56501756.04,251.5721900133,自动化设备,2026-08-29
688392,骄成超声,102945003.84,77.38,电池,2026-08-29
688391,钜泉科技,13595877.27,-63.73,半导体,2026-08-29
688386,泛亚微透,31145388.37,-42.78,塑料,2026-08-29
688376,美埃科技,83388631.56,-14.93,环保设备Ⅱ,2026-08-29
688372,伟测科技,159311093.39,57.61,半导体,2026-08-29
688371,菲沃泰,-45646904.52,-373.11,电子化学品Ⅱ,2026-08-29
688355,明志科技,16378166.62,-62.44,通用设备,2026-08-29
688339,亿华通,-104202937.4,36.2391653631,电池,2026-08-29
688335,复洁科技,-5085021.66,-176.62,环境治理,2026-08-29
688330,宏力达,290687167.05,194.7,电网设备,2026-08-29
688298,东方生物,-222229817.44,-36.26,医疗器械,2026-08-29
688283,坤恒顺维,10837092.27,-15.41,通信设备,2026-08-29
688275,万润新能,602148422.76,326.5605906087,电池,2026-08-29
688273,麦澜德,36730585.13,-42.54,医疗器械,2026-08-29
688265,南模生物,9076619.83,-50.04,医疗服务,2026-08-29
688248,南网科技,156200107.98,-10.52,电网设备,2026-08-29
688246,嘉和美康,-80013364.24,31.1940599087,软件开发,2026-08-29
688244,永信至诚,-53465658.75,-27.1397556691,软件开发,2026-08-29
688236,春立医疗,119957018.06,4.79,医疗器械,2026-08-29
688229,博睿数据,-35618254.36,-35.990353378,IT服务Ⅱ,2026-08-29
688228,开普云,-18946264.82,-601.58,IT服务Ⅱ,2026-08-29
688220,翱捷科技,84243768.67,134.3285645446,半导体,2026-08-29
688197,首药控股,-61059407.4,41.4981402698,化学制药,2026-08-29
688195,腾景科技,50082054.93,36.88,光学光电子,2026-08-29
688193,仁度生物,9575519.87,369.86,医疗器械,2026-08-29
688190,云路股份,125728433.58,-25.82,金属新材料,2026-08-29
688176,亚虹医药,-238604759.91,-47.0925381775,化学制药,2026-08-29
688173,希荻微,-30377933.41,32.0227906784,半导体,2026-08-29
688159,有方科技,74597426.4,17.36,通信设备,2026-08-29
688157,松井股份,-5003505.83,-140.75,化学制品,2026-08-29
688147,微导纳米,102449219.38,-46.74,半导体,2026-08-29
688133,泰坦科技,-42686777.67,-537.13,化学制品,2026-08-29
688132,邦彦技术,-104189886.33,-74.5989770032,军工电子Ⅱ,2026-08-29
688129,东来技术,45817867.46,3.07,化学制品,2026-08-29
688107,安路科技,-74465514.96,47.7035937045,半导体,2026-08-29
688096,京源环保,1743880.43,-24.93,环境治理,2026-08-29
688092,爱科科技,7299280.46,-72.04,专用设备,2026-08-29
688081,兴图新科,-31629732.08,-4.0690637242,军工电子Ⅱ,2026-08-29
688071,华依科技,7352411.56,234.6061420937,专用设备,2026-08-29
688057,金达莱,6112585.52,-90.38,环境治理,2026-08-29
688051,佳华科技,-57363407.85,-40.3155403112,IT服务Ⅱ,2026-08-29
688047,龙芯中科,-223912463.89,23.9603992157,半导体,2026-08-29
688033,*ST天宜,-162583176.52,22.3407574616,轨交设备Ⅱ,2026-08-29
688032,禾迈股份,-163994519.34,-1107.86,光伏设备,2026-08-29
688015,交控科技,54073098.86,6.16,轨交设备Ⅱ,2026-08-29
688010,福光股份,-12953309.01,54.9799680721,光学光电子,2026-08-29
688008,澜起科技,1997374517.87,72.33,半导体,2026-08-29
688001,华兴源创,94889553.79,20.85,通用设备,2026-08-29
605598,上海港湾,-30496259.16,-145.58,专业工程,2026-08-29
605566,福莱蒽特,40109189.5,19.47,化学制品,2026-08-29
605376,博迁新材,135598804.04,28.5,金属新材料,2026-08-29
605289,罗曼股份,71974705.53,444.1,专业工程,2026-08-29
605287,德才股份,44220683.16,-6.12,装修装饰Ⅱ,2026-08-29
605255,天普股份,-14325817.0,-226.8,汽车零部件,2026-08-29
605133,嵘泰股份,87808195.95,-10.14,汽车零部件,2026-08-29
605122,四方新材,7322464.97,127.8145031975,水泥,2026-08-29
605116,奥锐特,158743479.89,-32.42,化学制药,2026-08-29
605108,同庆楼,1396578.76,-98.06,酒店餐饮,2026-08-29
605028,世茂能源,4484974.8,-92.9,电力,2026-08-29
605008,长鸿高科,-58386550.37,-3582.49,塑料,2026-08-29
603998,方盛制药,197658807.37,16.79,中药Ⅱ,2026-08-29
603989,艾华集团,169727503.24,17.21,元件,2026-08-29
603983,丸美生物,155470787.09,-10.86,化妆品,2026-08-29
603966,法兰泰克,122406375.87,0.24,专用设备,2026-08-29
603958,哈森股份,25132855.04,1569.4317775163,服装家纺,2026-08-29
603903,中持股份,14570224.55,45.65,环境治理,2026-08-29
603899,晨光股份,585773979.29,5.13,文娱用品,2026-08-29
603876,鼎胜新材,479881310.78,155.41,工业金属,2026-08-29
