date,open,high,low,close,volume
2026-01-30,0.8484,0.8488,0.8281,0.8285,43540.0
2026-02-02,0.8358,0.9707,0.8358,0.9707,40726.0
2026-02-03,0.9425,0.9425,0.9056,0.9056,2101.0
2026-02-04,0.8724,0.8724,0.8724,0.8724,516.0
2026-02-05,0.885,0.9005,0.885,0.9005,4827.0
2026-02-06,0.9151,0.9151,0.867,0.867,3691.0
2026-02-09,0.84,0.84,0.8311,0.8311,2338.0
2026-02-12,0.831,0.831,0.8273,0.831,5302.0
2026-02-13,0.8693,0.8724,0.8693,0.8724,6890.0
2026-02-24,0.8421,0.8449,0.8421,0.8449,11756.0
2026-02-25,0.8025,0.8025,0.7934,0.7934,1551.0
2026-02-26,0.815,0.821,0.809,0.816,3634.0
2026-02-27,0.8262,0.84,0.8262,0.84,6872.0
2026-03-02,0.833,0.877,0.824,0.824,26826.0
2026-03-03,0.8736,0.8984,0.8326,0.8984,99016.0
2026-03-04,0.92,0.9622,0.92,0.944,12060.0
2026-03-05,0.9112,0.9112,0.8933,0.902,13216.0
2026-03-06,0.9361,0.9361,0.905,0.905,108959.0
2026-03-09,1.0043,1.0238,0.95,0.95,179408.0
2026-03-10,0.9072,0.9072,0.9072,0.9072,442.0
2026-03-11,0.878,0.878,0.878,0.878,120.0
2026-03-13,0.8934,0.918,0.8934,0.918,1244.0
2026-03-16,0.9084,0.9084,0.9084,0.9084,219.0
2026-03-17,0.928,0.9336,0.928,0.9336,31.0
2026-03-18,0.9325,0.9578,0.9268,0.9268,142281.0
2026-03-19,0.96,1.0021,0.9498,1.0021,103887.0
2026-03-20,0.9799,0.9998,0.9799,0.9998,2057.0
2026-03-23,1.1,1.1832,1.096,1.1778,15996.0
2026-03-24,1.15,1.16,1.107,1.107,22854.0
2026-03-25,1.05,1.05,1.0364,1.0418,5704.0
2026-03-26,1.0383,1.0963,1.0348,1.0963,6675.0
2026-03-27,1.0763,1.0763,1.05,1.05,10287.0
2026-03-30,1.1,1.1333,1.1,1.1333,83688.0
2026-04-01,1.0597,1.0597,1.05,1.05,1329.0
2026-04-02,1.0952,1.1226,1.0952,1.1226,91144.0
2026-04-03,1.1253,1.1253,1.1253,1.1253,6950.0
2026-04-08,1.0,1.001,0.975,0.9806,13697.0
2026-04-09,1.0,1.005,1.0,1.005,2416.0
2026-04-10,0.9549,0.9549,0.9308,0.9332,2994.0
2026-04-13,0.95,0.95,0.932,0.932,66035.0
2026-04-14,0.9201,0.9222,0.9201,0.9222,6870.0
2026-04-15,0.86,0.8893,0.86,0.8893,18878.0
2026-04-16,0.8761,0.8761,0.839,0.839,16515.0
2026-04-17,0.8531,0.8567,0.8355,0.8519,61782.0
2026-04-20,0.8533,0.8533,0.8206,0.8234,36952.0
2026-04-21,0.8516,0.8516,0.814,0.814,5855.0
2026-04-22,0.787,0.7884,0.7746,0.7746,16738.0
2026-04-23,0.7296,0.8162,0.7296,0.7965,289553.0
2026-04-24,0.8204,0.8204,0.8169,0.8169,30447.0
2026-04-28,0.812,0.8221,0.8059,0.822,348521.0
2026-04-29,0.781,0.781,0.7727,0.773,136344.0
2026-04-30,0.7747,0.7747,0.7627,0.7627,97380.0
2026-05-06,0.6824,0.6977,0.6722,0.6888,1054519.0
2026-05-07,0.6888,0.6888,0.6699,0.6731,18012.0
2026-05-08,0.6896,0.7084,0.6858,0.6858,436734.0
2026-05-11,0.6781,0.6845,0.6193,0.6193,207355.0
2026-05-12,0.6258,0.6383,0.6258,0.634,232572.0
2026-05-13,0.639,0.6401,0.5883,0.5905,1109394.0
2026-05-14,0.5867,0.6587,0.5867,0.6319,2008353.0
2026-05-15,0.6634,0.7228,0.6476,0.7169,1880925.0
2026-05-18,0.705,0.7484,0.6981,0.7305,427445.0
2026-05-19,0.7425,0.7665,0.703,0.7049,762705.0
2026-05-20,0.7377,0.7472,0.7136,0.7203,816280.0
2026-05-21,0.6578,0.7577,0.6412,0.7577,63839.0
2026-05-22,0.7391,0.7622,0.7152,0.7212,266532.0
2026-05-25,0.7048,0.7155,0.6785,0.6851,972060.0
2026-05-26,0.6811,0.6965,0.653,0.659,1716516.0
2026-05-27,0.6363,0.7998,0.634,0.6983,688890.0
2026-05-28,0.7048,0.7311,0.6766,0.6842,269227.0
2026-05-29,0.654,0.7143,0.654,0.7143,891455.0
2026-06-01,0.6917,0.7296,0.6757,0.7271,786543.0
2026-06-02,0.6533,0.659,0.6454,0.659,36512.0
2026-06-03,0.6586,0.6586,0.5996,0.6397,1181287.0
2026-06-04,0.663,0.682,0.6419,0.6699,139468.0
2026-06-05,0.6628,0.7639,0.6628,0.7615,529377.0
2026-06-08,0.8196,0.8527,0.7968,0.8527,1009807.0
2026-06-09,0.8338,0.8338,0.819,0.819,50290.0
2026-06-10,0.8393,0.8393,0.8393,0.8393,24590.0
2026-06-11,0.814,0.825,0.814,0.825,44954.0
2026-06-12,0.7923,0.7923,0.7508,0.7624,117029.0
2026-06-15,0.7161,0.7207,0.6855,0.6875,287605.0
2026-06-16,0.6719,0.684,0.6679,0.684,316039.0
2026-06-17,0.67,0.67,0.666,0.666,13896.0
2026-06-18,0.65,0.65,0.6107,0.6255,1104136.0
2026-06-22,0.626,0.626,0.525,0.5281,1351821.0
2026-06-23,0.5244,0.6788,0.521,0.6603,3159709.0
2026-06-24,0.6444,0.66,0.6276,0.6455,451923.0
2026-06-25,0.6236,0.6282,0.571,0.5905,4541841.0
2026-06-26,0.6263,0.741,0.6263,0.695,904757.0
2026-06-29,0.69,0.735,0.69,0.6955,66207.0
2026-06-30,0.6678,0.6678,0.62,0.6215,122267.0
2026-07-01,0.63,0.665,0.5905,0.6482,406508.0
2026-07-02,0.6975,0.7407,0.6975,0.7407,45392.0
2026-07-03,0.715,0.7232,0.669,0.7,151064.0
2026-07-06,0.7286,0.73,0.71,0.71,25186.0
2026-07-07,0.72,0.7756,0.714,0.74,112905.0
2026-07-08,0.7593,0.7665,0.709,0.763,40919.0
2026-07-09,0.7538,0.7704,0.6733,0.6733,998873.0
2026-07-10,0.654,0.7285,0.6474,0.7285,332621.0
2026-07-13,0.7846,0.82,0.7816,0.82,109285.0
2026-07-14,0.79,0.84,0.745,0.769,45708.0
2026-07-15,0.718,0.74,0.71,0.73,8352.0
2026-07-16,0.785,0.807,0.7479,0.807,153690.0
2026-07-17,0.8643,0.9706,0.8643,0.9567,59175.0
2026-07-20,0.895,0.965,0.8595,0.89,164775.0
2026-07-21,0.88,0.89,0.7723,0.7798,194304.0
2026-07-22,0.7671,0.8,0.7459,0.778,311154.0
2026-07-23,0.7639,0.7827,0.752,0.752,34888.0
2026-07-24,0.805,0.8328,0.8,0.83,16709.0
2026-07-27,0.8466,0.8466,0.802,0.806,125046.0
2026-07-28,0.8353,0.9289,0.8353,0.9183,263497.0
2026-07-29,0.9251,0.9251,0.86,0.8841,99743.0
2026-07-30,0.89,0.9832,0.89,0.922,155950.0
2026-07-31,0.8593,0.8678,0.824,0.862,33594.0
