date,open,high,low,close,volume
2026-09-02,0.0023,0.003,0.0015,0.0022,286750.0
2026-09-03,0.0023,0.0026,0.002,0.0021,28284.0
2026-09-04,0.0021,0.0031,0.002,0.0022,153760.0
2026-09-07,0.0022,0.0029,0.0019,0.0022,203200.0
2026-09-08,0.0022,0.0025,0.0022,0.0022,10078.0
2026-09-09,0.0023,0.0024,0.002,0.0023,24580.0
2026-09-10,0.0025,0.0025,0.0021,0.0024,5993.0
2026-09-11,0.0022,0.0024,0.0019,0.0019,214408.0
2026-09-14,0.0018,0.0025,0.0016,0.0018,248162.0
2026-09-15,0.0019,0.0019,0.0014,0.0015,9165.0
2026-09-16,0.0016,0.0024,0.0015,0.0021,118987.0
2026-09-17,0.0021,0.0025,0.0015,0.0019,36902.0
2026-09-18,0.002,0.002,0.0015,0.0016,55764.0
2026-09-21,0.002,0.002,0.0014,0.0015,39779.0
2026-09-22,0.0018,0.002,0.0014,0.0016,950225.0
2026-09-23,0.0015,0.0017,0.0012,0.0014,91335.0
2026-09-24,0.0013,0.0013,0.001,0.0012,83542.0
