date,open,high,low,close,volume
2026-01-29,0.2769,0.299,0.2729,0.2945,538673.0
2026-01-30,0.2845,0.2882,0.255,0.266,348065.0
2026-02-02,0.2706,0.2706,0.2129,0.213,576280.0
2026-02-03,0.2319,0.2375,0.2051,0.2216,151209.0
2026-02-04,0.2192,0.2195,0.2142,0.2195,111892.0
2026-02-05,0.2147,0.2162,0.2035,0.211,296291.0
2026-02-06,0.2102,0.2123,0.191,0.191,19934.0
2026-02-09,0.2206,0.2255,0.2147,0.2252,543955.0
2026-02-10,0.219,0.219,0.219,0.219,9.0
2026-02-11,0.2161,0.2161,0.2131,0.2131,2947.0
2026-02-12,0.2121,0.2141,0.2096,0.213,18471.0
2026-02-13,0.2036,0.2082,0.1861,0.1861,77063.0
2026-02-24,0.1844,0.1844,0.1683,0.1683,206605.0
2026-02-25,0.1758,0.1988,0.175,0.186,144157.0
2026-02-26,0.1788,0.1806,0.1738,0.1773,51963.0
2026-02-27,0.1751,0.1786,0.1718,0.1786,14609.0
2026-03-02,0.1758,0.1784,0.1581,0.1728,283672.0
2026-03-03,0.1768,0.1789,0.1535,0.156,520049.0
2026-03-04,0.1525,0.1525,0.1375,0.1384,1066883.0
2026-03-05,0.1438,0.1475,0.1292,0.1375,414729.0
2026-03-06,0.1325,0.14,0.1285,0.138,329767.0
2026-03-09,0.1325,0.1325,0.105,0.1181,321536.0
2026-03-10,0.125,0.1325,0.121,0.1325,194349.0
2026-03-11,0.1329,0.143,0.1329,0.1382,125560.0
2026-03-12,0.1385,0.1386,0.1322,0.136,92543.0
2026-03-13,0.13,0.146,0.13,0.136,65197.0
2026-03-16,0.1325,0.138,0.1251,0.138,543331.0
2026-03-17,0.14,0.151,0.1275,0.1275,280815.0
2026-03-18,0.1275,0.1282,0.1201,0.127,150152.0
2026-03-19,0.1197,0.1204,0.105,0.1076,593131.0
2026-03-20,0.11,0.116,0.107,0.107,186334.0
2026-03-23,0.1,0.1016,0.0784,0.0837,332736.0
2026-03-24,0.0875,0.088,0.0798,0.0845,527157.0
2026-03-25,0.0897,0.091,0.0863,0.0886,141143.0
2026-03-26,0.0914,0.0914,0.077,0.0799,160468.0
2026-03-27,0.0738,0.0865,0.0738,0.0832,111847.0
2026-03-30,0.0782,0.0834,0.076,0.0827,286195.0
2026-03-31,0.0824,0.0846,0.075,0.078,250029.0
2026-04-01,0.084,0.0847,0.0781,0.0829,256392.0
2026-04-02,0.0775,0.0789,0.0711,0.0731,194900.0
2026-04-03,0.0739,0.0749,0.068,0.0685,307373.0
2026-04-07,0.0701,0.0701,0.0625,0.065,44452.0
2026-04-08,0.0726,0.0969,0.0726,0.0943,893776.0
2026-04-09,0.0903,0.0903,0.0825,0.0864,769612.0
2026-04-10,0.09,0.1119,0.09,0.0998,1478631.0
2026-04-13,0.0975,0.1035,0.095,0.1018,803823.0
2026-04-14,0.105,0.1237,0.105,0.1237,398239.0
2026-04-15,0.125,0.1399,0.1225,0.1253,714585.0
2026-04-16,0.1275,0.1467,0.1275,0.1443,750385.0
2026-04-17,0.14,0.1441,0.1354,0.1382,171933.0
2026-04-20,0.135,0.1528,0.135,0.1481,456767.0
2026-04-21,0.1498,0.1537,0.1353,0.1517,813639.0
2026-04-22,0.1475,0.1643,0.145,0.1643,627760.0
2026-04-23,0.165,0.17,0.1426,0.1535,20873912.0
2026-04-24,0.1476,0.1575,0.14,0.1508,7463064.0
2026-04-27,0.1575,0.16,0.1492,0.1517,12025911.0
2026-04-28,0.1475,0.1528,0.14,0.1431,2721888.0
2026-04-29,0.145,0.17,0.145,0.1639,7477521.0
2026-04-30,0.1678,0.17,0.1586,0.1658,6397947.0
