date,open,high,low,close,volume
2026-01-29,0.1921,0.1927,0.1621,0.1621,318668.0
2026-01-30,0.1707,0.205,0.1696,0.1847,387140.0
2026-02-02,0.195,0.2659,0.1886,0.2645,841869.0
2026-02-03,0.2362,0.2483,0.2169,0.2169,173564.0
2026-02-04,0.2179,0.2184,0.1939,0.1945,71145.0
2026-02-05,0.1922,0.211,0.1922,0.2097,85559.0
2026-02-06,0.2145,0.2277,0.199,0.1994,61087.0
2026-02-09,0.1904,0.1904,0.1753,0.1753,13015.0
2026-02-10,0.1748,0.1748,0.1704,0.1728,17012.0
2026-02-11,0.1691,0.1738,0.1691,0.1725,11718.0
2026-02-12,0.17,0.1717,0.17,0.1717,9048.0
2026-02-13,0.1845,0.2045,0.1777,0.2011,159727.0
2026-02-24,0.1904,0.1904,0.156,0.1591,911474.0
2026-02-25,0.1564,0.1564,0.1352,0.1424,99534.0
2026-02-26,0.1443,0.1482,0.1398,0.1437,77075.0
2026-02-27,0.15,0.153,0.1417,0.145,66770.0
2026-03-02,0.1574,0.1695,0.1433,0.1472,471623.0
2026-03-03,0.1447,0.185,0.1447,0.1781,683727.0
2026-03-04,0.191,0.22,0.1835,0.2045,558311.0
2026-03-05,0.1902,0.195,0.1739,0.1941,391056.0
2026-03-06,0.1974,0.2,0.175,0.179,57687.0
2026-03-09,0.1945,0.2545,0.1945,0.2098,694386.0
2026-03-10,0.1902,0.1902,0.1697,0.1726,145730.0
2026-03-11,0.1713,0.1713,0.1598,0.1642,35007.0
2026-03-12,0.17,0.1897,0.1688,0.1754,116488.0
2026-03-13,0.1792,0.1866,0.1691,0.1866,208934.0
2026-03-16,0.1949,0.2022,0.1796,0.1825,252723.0
2026-03-17,0.1741,0.1919,0.158,0.1919,130015.0
2026-03-18,0.1921,0.2069,0.1868,0.1885,194676.0
2026-03-19,0.2049,0.2318,0.2018,0.228,199534.0
2026-03-20,0.2147,0.2348,0.2073,0.2348,394265.0
2026-03-23,0.248,0.3468,0.248,0.3344,663989.0
2026-03-24,0.3273,0.3367,0.2835,0.2835,245466.0
2026-03-25,0.2503,0.2503,0.2356,0.2364,555508.0
2026-03-26,0.2322,0.2754,0.2298,0.266,485080.0
2026-03-27,0.3357,0.3357,0.2407,0.253,150679.0
2026-03-30,0.2854,0.2965,0.2672,0.2672,294412.0
2026-03-31,0.2597,0.288,0.25,0.2816,355876.0
2026-04-01,0.2563,0.2563,0.2381,0.2381,57657.0
2026-04-02,0.2512,0.2852,0.246,0.275,452321.0
2026-04-03,0.2714,0.2983,0.2651,0.2941,324913.0
2026-04-07,0.28,0.2881,0.2709,0.2881,9550.0
2026-04-08,0.25,0.2648,0.1901,0.1923,532698.0
2026-04-09,0.1999,0.2106,0.1992,0.204,916133.0
2026-04-10,0.19,0.19,0.1665,0.1762,677640.0
2026-04-13,0.1779,0.183,0.1687,0.1728,188006.0
2026-04-14,0.1627,0.1635,0.1493,0.1511,241325.0
2026-04-15,0.1461,0.1585,0.1365,0.1555,556056.0
2026-04-16,0.1436,0.1436,0.1365,0.1396,224565.0
2026-04-17,0.1396,0.1462,0.1377,0.1428,39383.0
2026-04-20,0.1433,0.1433,0.1277,0.1311,167803.0
2026-04-21,0.1314,0.1407,0.1237,0.1256,437426.0
2026-04-22,0.1256,0.1256,0.116,0.116,277116.0
2026-04-23,0.1091,0.1316,0.1091,0.1209,7266240.0
2026-04-24,0.1209,0.1351,0.1205,0.1249,10078072.0
2026-04-27,0.1231,0.1253,0.1175,0.1212,4744393.0
2026-04-28,0.1235,0.1284,0.1197,0.124,4446731.0
2026-04-29,0.1255,0.1257,0.1041,0.1057,7520549.0
2026-04-30,0.1024,0.1099,0.1024,0.1049,8652456.0
2026-05-06,0.0951,0.0951,0.0783,0.0834,20898008.0
2026-05-07,0.0806,0.086,0.0804,0.083,4909187.0
2026-05-08,0.087,0.093,0.0847,0.089,5063804.0
2026-05-11,0.0843,0.0877,0.0744,0.0786,8644549.0
2026-05-12,0.0765,0.0833,0.0765,0.0788,10077337.0
2026-05-13,0.0801,0.084,0.0692,0.0712,14502641.0
2026-05-14,0.0694,0.086,0.0694,0.0811,21799753.0
2026-05-15,0.0799,0.1032,0.0785,0.0934,49821124.0
2026-05-18,0.0934,0.105,0.089,0.0946,38553067.0
2026-05-19,0.0995,0.1122,0.0904,0.0904,53613423.0
2026-05-20,0.0992,0.1005,0.0902,0.0906,34997297.0
2026-05-21,0.0868,0.1102,0.0724,0.105,35097905.0
