date,open,high,low,close,volume
2026-03-24,0.107,0.1128,0.0848,0.0877,2506233.0
2026-03-25,0.0803,0.0803,0.0649,0.0674,2942599.0
2026-03-26,0.0643,0.0828,0.0643,0.0807,874625.0
2026-03-27,0.085,0.085,0.0718,0.0758,1021675.0
2026-03-30,0.08,0.0936,0.08,0.0845,1549839.0
2026-03-31,0.0782,0.0898,0.0758,0.0882,699332.0
2026-04-01,0.0795,0.0795,0.0681,0.0703,843564.0
2026-04-02,0.0699,0.0849,0.0699,0.0811,266030.0
2026-04-03,0.0781,0.0923,0.0776,0.0895,483736.0
2026-04-07,0.0862,0.0885,0.0785,0.0843,212661.0
2026-04-08,0.0776,0.0776,0.0528,0.0587,1428461.0
2026-04-09,0.0616,0.0635,0.059,0.0607,752439.0
2026-04-10,0.0571,0.0571,0.0469,0.0475,865966.0
2026-04-13,0.0475,0.0492,0.045,0.0453,468566.0
2026-04-14,0.0413,0.0441,0.0399,0.0424,667267.0
2026-04-15,0.0401,0.0426,0.0369,0.0415,527854.0
2026-04-16,0.0423,0.0423,0.0376,0.0385,198175.0
2026-04-17,0.0395,0.0412,0.0376,0.0386,248921.0
2026-04-20,0.0386,0.0399,0.0338,0.0346,219652.0
2026-04-21,0.0351,0.036,0.0326,0.033,180806.0
2026-04-22,0.0336,0.0337,0.0313,0.0314,301782.0
2026-04-23,0.0302,0.0355,0.0299,0.0317,22324463.0
2026-04-24,0.0318,0.0357,0.0312,0.0343,29656632.0
2026-04-27,0.0322,0.0335,0.031,0.0322,15082139.0
2026-04-28,0.0322,0.0341,0.0317,0.0325,16687505.0
2026-04-29,0.0334,0.0348,0.0273,0.0273,6770051.0
2026-04-30,0.0278,0.0285,0.026,0.026,13552076.0
2026-05-06,0.024,0.0242,0.0192,0.0194,9239493.0
2026-05-07,0.0191,0.021,0.0188,0.0207,3496751.0
2026-05-08,0.0207,0.0224,0.0206,0.0213,11597164.0
2026-05-11,0.021,0.0221,0.019,0.0198,34020767.0
2026-05-12,0.0198,0.0212,0.0192,0.0193,38206540.0
2026-05-13,0.0195,0.021,0.0178,0.018,79237571.0
2026-05-14,0.0177,0.0205,0.0175,0.0188,222305584.0
2026-05-15,0.0186,0.0247,0.0175,0.021,583749413.0
2026-05-18,0.0223,0.0234,0.0192,0.0193,372611074.0
2026-05-19,0.0193,0.0234,0.0193,0.0199,455887870.0
2026-05-20,0.0203,0.0211,0.0193,0.02,390902360.0
2026-05-21,0.0191,0.0232,0.0171,0.0212,142946445.0
2026-05-22,0.0212,0.0227,0.0193,0.0193,66028715.0
2026-05-25,0.0182,0.0193,0.0169,0.0169,37732418.0
2026-05-26,0.0175,0.0181,0.0166,0.0167,23638141.0
2026-05-27,0.0159,0.023,0.0157,0.0206,139416315.0
2026-05-28,0.0209,0.023,0.0183,0.0188,64844830.0
2026-05-29,0.0186,0.0214,0.0166,0.0194,125481670.0
2026-06-01,0.0191,0.0224,0.0167,0.0192,38387960.0
2026-06-02,0.019,0.0197,0.0163,0.0165,37264732.0
2026-06-03,0.0165,0.0172,0.0129,0.0139,84308836.0
2026-06-04,0.0151,0.0157,0.0136,0.0141,120320814.0
2026-06-05,0.0142,0.0227,0.0141,0.0207,78068789.0
2026-06-08,0.0267,0.0354,0.0239,0.0299,397576782.0
2026-06-09,0.0278,0.03,0.0247,0.0252,234768229.0
2026-06-10,0.0266,0.0302,0.0243,0.0266,460716026.0
2026-06-11,0.0266,0.0297,0.0249,0.0272,315629884.0
2026-06-12,0.0241,0.0242,0.0201,0.0224,134847375.0
2026-06-15,0.0205,0.0205,0.017,0.017,39615038.0
2026-06-16,0.017,0.0175,0.0153,0.0163,400883399.0
2026-06-17,0.0163,0.017,0.0155,0.0169,209658892.0
2026-06-18,0.0163,0.0177,0.0152,0.0157,263989684.0
2026-06-22,0.0151,0.0161,0.0127,0.013,107757494.0
2026-06-23,0.0128,0.0167,0.0128,0.0164,96679037.0
2026-06-24,0.0164,0.0166,0.0142,0.015,105430460.0
2026-06-25,0.0146,0.0148,0.0121,0.0121,82342443.0
2026-06-26,0.013,0.02,0.0119,0.0193,416838365.0
2026-06-29,0.0185,0.0202,0.0168,0.0171,449293914.0
2026-06-30,0.0174,0.0174,0.0135,0.0146,253839615.0
2026-07-01,0.0146,0.0151,0.013,0.0131,176102968.0
2026-07-02,0.0137,0.0203,0.0136,0.0195,156131084.0
2026-07-03,0.0197,0.0197,0.0155,0.0164,349463694.0
2026-07-06,0.0161,0.0176,0.0145,0.0153,107264513.0
2026-07-07,0.0163,0.0174,0.0139,0.0147,102319517.0
2026-07-08,0.0147,0.0154,0.012,0.0153,32862783.0
2026-07-09,0.0146,0.0155,0.011,0.0114,18248554.0
2026-07-10,0.0114,0.0124,0.0098,0.0115,66151611.0
2026-07-13,0.0115,0.0178,0.0113,0.0161,50245077.0
2026-07-14,0.0157,0.0203,0.0118,0.0124,81580371.0
2026-07-15,0.0123,0.0123,0.0099,0.0109,15109495.0
2026-07-16,0.0121,0.0163,0.0108,0.0149,31588293.0
2026-07-17,0.0156,0.0476,0.0154,0.0342,954468631.0
2026-07-20,0.0291,0.035,0.0213,0.0261,1159335761.0
2026-07-21,0.0251,0.0298,0.0152,0.0153,170521202.0
2026-07-22,0.0159,0.0159,0.0098,0.011,26918544.0
2026-07-23,0.0109,0.0109,0.0076,0.0084,553419.0
2026-07-24,0.009,0.0112,0.0085,0.0107,394198.0
2026-07-27,0.0107,0.0108,0.0072,0.0073,50733.0
2026-07-28,0.0083,0.0165,0.0083,0.0149,6502727.0
2026-07-29,0.0148,0.02,0.0124,0.0144,11133007.0
2026-07-30,0.0151,0.0299,0.0137,0.0198,30350065.0
