date,open,high,low,close,volume
2026-05-07,0.956,0.9663,0.955,0.96,5808.0
2026-05-08,0.967,0.9817,0.967,0.9769,1507.0
2026-05-11,0.9299,0.9299,0.9221,0.9221,1434.0
2026-05-12,0.9077,0.9272,0.9077,0.9214,2855.0
2026-05-13,0.9058,0.908,0.9058,0.908,15786.0
2026-05-14,0.925,0.925,0.9026,0.9196,1972.0
2026-05-15,0.9268,1.0,0.9268,1.0,4262.0
2026-05-18,1.0029,1.0249,1.0029,1.024,1210.0
2026-05-19,1.0429,1.045,1.0429,1.045,2245.0
2026-05-25,0.9918,0.9918,0.9814,0.9814,1911.0
2026-05-26,0.9754,0.9849,0.9645,0.9645,13882.0
2026-05-27,0.9343,0.9553,0.9343,0.9553,1589.0
2026-05-28,1.02,1.02,0.9808,0.9808,3493.0
2026-05-29,0.9569,0.985,0.9557,0.9681,46699.0
2026-06-03,0.9146,0.9146,0.9146,0.9146,754.0
2026-06-05,1.0317,1.05,1.0317,1.05,1918.0
2026-06-08,1.1268,1.1538,1.108,1.153,14197.0
2026-06-09,1.1302,1.1302,1.1302,1.1302,803.0
2026-06-10,1.1041,1.13,1.1041,1.13,6534.0
2026-06-11,1.15,1.15,1.15,1.15,367.0
2026-06-12,1.0617,1.0617,1.0617,1.0617,2300.0
2026-06-15,0.9819,0.9819,0.9819,0.9819,87.0
2026-06-16,0.9894,0.9894,0.9894,0.9894,250.0
2026-06-17,0.989,0.9921,0.9796,0.9822,20952.0
2026-06-18,0.9289,0.9289,0.9289,0.9289,274.0
2026-06-22,0.8593,0.8663,0.8273,0.8273,3407.0
2026-06-23,0.8513,0.9837,0.8513,0.9837,715022.0
2026-06-24,0.9507,0.96,0.9444,0.9497,34730.0
2026-06-25,0.9171,0.926,0.8877,0.8991,67218.0
2026-06-26,0.9304,1.0562,0.9304,1.0253,582410.0
2026-06-30,0.9457,0.9673,0.945,0.9515,8028.0
2026-07-01,0.9486,0.9486,0.9486,0.9486,256.0
2026-07-02,1.0461,1.06,1.02,1.06,38981.0
2026-07-14,1.1376,1.1376,1.1376,1.1376,14910.0
2026-07-15,1.0488,1.0627,1.0488,1.0627,8600.0
2026-07-16,1.1075,1.1075,1.0715,1.0803,4521.0
2026-07-17,1.174,1.2675,1.174,1.2675,318797.0
2026-07-24,1.1416,1.1416,1.1416,1.1416,4020.0
2026-07-27,1.1037,1.1037,1.1037,1.1037,2.0
2026-07-28,1.1762,1.2368,1.1762,1.2234,27944.0
2026-07-29,1.2552,1.2552,1.2007,1.2007,78132.0
2026-07-30,1.2943,1.2943,1.2527,1.2527,69250.0
2026-07-31,1.1271,1.1271,1.1271,1.1271,29185.0
2026-08-05,1.0995,1.0995,1.0995,1.0995,15250.0
2026-08-06,1.1206,1.1419,1.1166,1.1419,43634.0
2026-08-07,1.0998,1.0998,1.0998,1.0998,31740.0
2026-08-19,1.1766,1.1766,1.1766,1.1766,2.0
2026-08-24,1.1401,1.2129,1.1401,1.2129,38108.0
2026-08-25,1.2334,1.2334,1.2025,1.2025,33980.0
2026-08-26,1.1622,1.1635,1.1622,1.1635,45900.0
2026-08-31,1.1986,1.1986,1.1986,1.1986,11109.0
2026-09-02,1.2263,1.2263,1.2263,1.2263,18170.0
2026-09-03,1.1888,1.1888,1.1888,1.1888,6504.0
2026-09-04,1.1694,1.1694,1.1694,1.1694,4584.0
2026-09-08,1.1938,1.1938,1.1938,1.1938,368.0
2026-09-09,1.1904,1.1904,1.188,1.188,9910.0
2026-09-10,1.2171,1.2171,1.1988,1.2008,63059.0
2026-09-14,1.2812,1.2812,1.2812,1.2812,4033.0
2026-09-15,1.2767,1.2767,1.2767,1.2767,1378.0
2026-09-17,1.2826,1.2875,1.2826,1.2875,5586.0
2026-09-18,1.2282,1.229,1.2282,1.229,14090.0
2026-09-22,1.1692,1.1692,1.1692,1.1692,13010.0
2026-09-24,1.2187,1.2782,1.2187,1.2743,83093.0
