date,open,high,low,close,volume,oi,settle
2023-07-17,6521.2,6529.8,6474,6514.8,27095,44688,0
2023-07-18,6519,6538.2,6482.2,6515,28836,38688,0
2023-07-19,6510.2,6532.6,6464,6501,27906,29637,0
2023-07-20,6539.4,6539.4,6409,6416.2,28236,21117,0
2023-07-21,6402.4,6454.2,6383,6407,37502,56714,0
2023-07-24,6394,6445.4,6377.8,6393.6,24661,54618,0
2023-07-25,6477,6513,6455,6497.6,33597,56956,0
2023-07-26,6494.8,6495.8,6446.8,6468.4,23883,54432,0
2023-07-27,6470.2,6489,6403.6,6421,25942,56731,0
2023-07-28,6397.6,6491.2,6380,6473.6,36381,59569,0
2023-07-31,6495,6576,6486.6,6524.6,36386,59432,0
2023-08-01,6518.6,6539.6,6497.2,6509,25933,56027,0
2023-08-02,6501.6,6522.8,6470,6495.8,27477,55525,0
2023-08-03,6476.4,6500,6457.4,6495.6,26270,53865,0
2023-08-04,6520.6,6576,6503.8,6534.6,36472,57118,0
2023-08-07,6525.2,6549,6501,6515.6,25260,52722,0
2023-08-08,6502.4,6514.2,6456.2,6484.8,28508,53525,0
2023-08-09,6457,6480,6423.4,6433.2,24391,50170,0
2023-08-10,6423,6453.8,6397.4,6424.6,25321,50230,0
2023-08-11,6431.8,6435.8,6301.6,6304,32185,50054,0
2023-08-14,6246,6329.8,6212.8,6323.2,36541,47593,0
2023-08-15,6336,6336.4,6204.8,6268.2,35306,40790,0
2023-08-16,6245,6263.4,6188.6,6188.6,28738,31415,0
2023-08-17,6181,6273,6130.8,6243.8,28075,20815,0
2023-08-18,6259,6280.6,6123.2,6127.4,51556,114590,0
2023-08-21,6119.4,6169.6,5910.4,6053.8,49495,115780,0
2023-08-22,6093.8,6108.8,5973,6084,56411,117360,0
2023-08-23,6071.2,6075,5955.6,5974.8,46053,114016,0
2023-08-24,6003.2,6051.6,5948,5977.6,48013,114480,0
2023-08-25,5950,5986.2,5851,5881.8,60560,118272,0
2023-08-28,6230,6230,5888.2,5907.6,74218,114864,0
2023-08-29,5908,6143.8,5904.8,6099.2,76913,116174,0
2023-08-30,6121,6203.6,6103,6128.2,59262,108927,0
2023-08-31,6124.4,6138.8,6081.6,6110.6,44355,105451,0
2023-09-01,6123.4,6148.8,6081.8,6103,37772,101705,0
2023-09-04,6130,6198,6100.2,6198,49221,102622,0
2023-09-05,6190,6208.8,6143,6162.2,37506,93238,0
2023-09-06,6145,6207,6096.4,6178.8,40919,93733,0
2023-09-07,6160,6170.8,6068,6077.2,49425,90160,0
2023-09-08,6050.4,6111,6050.4,6075.4,41430,82315,0
2023-09-11,6093,6198.2,6058,6165,53983,78322,0
2023-09-12,6165,6197.4,6153.4,6172.2,38208,61161,0
2023-09-13,6158,6165.4,6041.4,6094,50989,48936,0
2023-09-14,6093,6093.6,6031.2,6077.2,38289,25838,0
2023-09-15,6088,6122.4,6047.2,6066.6,20135,12118,0
2023-09-18,6040,6107,6019.2,6083.6,45674,72555,0
2023-09-19,6078.2,6079.6,6010,6039.2,37431,72024,0
2023-09-20,6020,6043.8,5985,5987.2,29923,71440,0
2023-09-21,5970,6006.2,5928.4,5941.8,38129,75442,0
2023-09-22,5941.6,6068,5925.2,6065,52998,76350,0
2023-09-25,6055.2,6070,6009.8,6031.4,34272,68659,0
2023-09-26,6021.6,6038.2,6000.8,6007.2,27754,67998,0
2023-09-27,6005,6080,5997.8,6050.2,38721,70607,0
2023-09-28,6063.4,6078.4,6045,6075,31072,66737,0
2023-10-09,6075,6079.6,6017,6055,36957,68420,0
2023-10-10,6074.2,6094.8,6028.4,6033.8,29619,63047,0
2023-10-11,6059.8,6114.4,6026,6040.4,39897,64663,0
2023-10-12,6078,6096.8,6052,6093,33395,58148,0
2023-10-13,6069,6085.6,6058.4,6084.2,24927,55661,0
2023-10-16,6090.2,6092,5995,6013.4,36887,55778,0
2023-10-17,6020.2,6024.4,5961,6006.6,35111,46652,0
2023-10-18,5990,5990,5894,5904.6,37469,36893,0
2023-10-19,5884.2,5926.8,5837.6,5845.2,33707,22835,0
2023-10-20,5820,5848.4,5741.8,5766.2,45404,64725,0
2023-10-23,5751.4,5751.4,5571.2,5602,48848,67632,0
2023-10-24,5622.6,5725,5588.8,5675.2,52659,68042,0
2023-10-25,5725,5792.8,5725,5739.6,35641,61564,0
2023-10-26,5720.4,5804.2,5702,5780.8,42229,64865,0
2023-10-27,5762.2,5927.4,5748.2,5907,50082,61876,0
2023-10-30,5902,6003,5896.8,5975,38967,60803,0
2023-10-31,5975,5989.6,5914.2,5945,35985,59087,0
2023-11-01,5950,5965,5912.8,5936.2,31788,56954,0
2023-11-02,5945.6,5969.6,5873.2,5877.4,32331,58022,0
2023-11-03,5888,5995.4,5888,5958,44539,60138,0
2023-11-06,6000.2,6099.8,6000,6085.8,39128,56259,0
2023-11-07,6085.6,6128,6057.6,6098,32102,54924,0
2023-11-08,6097,6138.8,6072.4,6110.6,38629,55049,0
2023-11-09,6102,6146.6,6055.8,6072.2,38845,53937,0
2023-11-10,6050.4,6079.4,6025.2,6066,35815,48280,0
2023-11-13,6088.4,6125,6062.4,6124,35749,44284,0
2023-11-14,6124,6179.2,6111.4,6165.4,37346,39007,0
2023-11-15,6210,6228.4,6171,6199.2,30794,28855,0
2023-11-16,6135,6145.8,6082.8,6088.8,43848,122178,0
2023-11-17,6079.8,6155,6071.8,6153.2,48384,130747,0
2023-11-20,6165.4,6218,6115.8,6213.8,51325,130489,0
2023-11-21,6225,6237,6151.2,6161.8,47498,126866,0
2023-11-22,6145,6195,6090.4,6093,46938,128145,0
2023-11-23,6090.2,6179.8,6067.2,6176.6,56528,126506,0
2023-11-24,6163,6165.6,6059.2,6081,51088,123812,0
2023-11-27,6074.2,6103.2,6034.4,6081.2,48025,121213,0
2023-11-28,6070.6,6114.2,6016.8,6097.2,49335,120191,0
2023-11-29,6093.8,6109.6,6053,6074.6,38673,114482,0
2023-11-30,6065,6074.8,5988.2,6036,51825,118665,0
2023-12-01,6036,6110.8,6010.6,6092.2,55283,114392,0
2023-12-04,6100,6109.8,6057.4,6058.6,44645,108833,0
2023-12-05,6050.2,6050.2,5945.2,5958.2,50053,105484,0
2023-12-06,5938,6047,5930.6,5997.8,52974,102545,0
2023-12-07,5985,6040,5946,6014.2,59078,96530,0
2023-12-08,6025.2,6065,5996,6000.8,51721,84179,0
2023-12-11,5973,6096,5935.2,6070.6,60774,75330,0
2023-12-12,6070,6086,6048.4,6079,45958,55716,0
2023-12-13,6062.2,6078.6,6013.4,6022.6,39656,40034,0
2023-12-14,6041.2,6082,5991,6000,35203,23013,0
2023-12-15,6010,6034.8,5952.2,5956.2,20199,9446,0
2023-12-18,5891,5906.4,5807.4,5831.6,41552,77772,0
2023-12-19,5826,5868,5800.4,5838,42896,80418,0
2023-12-20,5846,5860.8,5741,5745,41766,78823,0
2023-12-21,5721.6,5799.2,5665.2,5770.2,57907,85262,0
2023-12-22,5756.2,5797.6,5697,5722.8,56485,83263,0
2023-12-25,5725.2,5755,5682.4,5717.6,37888,81248,0
2023-12-26,5711.4,5711.4,5619.6,5636.6,41911,84435,0
2023-12-27,5654.6,5689.6,5616,5673,44291,85714,0
2023-12-28,5659,5818.8,5642.6,5803.4,59871,85970,0
2023-12-29,5799,5903.2,5798.6,5894.8,49489,80879,0
2024-01-02,5895,5902,5832,5833.6,34421,77941,0
2024-01-03,5818,5852.6,5766,5809.4,39674,77490,0
2024-01-04,5800,5802.2,5730,5765.2,43701,76857,0
2024-01-05,5751,5780,5645.2,5664.8,49324,78064,0
2024-01-08,5649,5653.6,5462.6,5480.2,63475,84117,0
2024-01-09,5504.8,5584.2,5471,5513.4,66881,77072,0
2024-01-10,5500.4,5567.4,5412.2,5484.6,60977,75297,0
2024-01-11,5485.2,5640,5472.4,5595.2,63401,73029,0
2024-01-12,5576.4,5637.6,5551,5551,46706,62619,0
2024-01-15,5528,5599.8,5498,5530.2,51572,61673,0
2024-01-16,5525.6,5547.4,5433.2,5513,59099,51543,0
2024-01-17,5500.2,5505,5330,5346.4,48961,41346,0
2024-01-18,5335,5376,5177.8,5344.6,51285,27909,0
2024-01-19,5248,5309.6,5205.2,5217.4,61749,69906,0
2024-01-22,5204.8,5220.2,4726,4830.4,93331,77889,0
2024-01-23,4830.2,5058,4773,4998,101009,78867,0
2024-01-24,5055,5111,4833,5090.8,112868,82649,0
2024-01-25,5055.4,5307.8,5038,5306.6,97699,76703,0
2024-01-26,5284,5316.8,5196,5216.8,74122,71513,0
2024-01-29,5248,5271.4,5058,5063,82003,75990,0
2024-01-30,5035.2,5099.4,4886,4907.2,83571,76370,0
2024-01-31,4889,4935.4,4706.4,4727.2,109118,81823,0
2024-02-01,4701.8,4858.2,4651,4699.2,115210,81141,0
2024-02-02,4726.2,4788,4339,4507.2,134558,78971,0
2024-02-05,4453,4458.6,4081.2,4176.6,161837,81624,0
2024-02-06,4146,4645.8,4129,4609,138116,61421,0
2024-02-07,4586,4841.2,4566.6,4793,173017,130284,0
2024-02-08,4846.2,5078,4846.2,4980.4,173190,135122,0
2024-02-19,5070,5122.6,4856.2,4954.6,132602,138301,0
2024-02-20,4922.2,5030.2,4872.4,4989,116169,134213,0
2024-02-21,4950.8,5215,4940.4,5001.4,152686,140832,0
2024-02-22,5031,5137.6,5016.2,5122.4,128355,136589,0
2024-02-23,5150,5218,5066.6,5217,125499,135418,0
2024-02-26,5217,5305.2,5163.2,5215,127431,135321,0
2024-02-27,5188,5391.8,5181.2,5386,130656,133768,0
2024-02-28,5400,5464,5100,5117.6,190365,142224,0
2024-02-29,5108,5341.2,5107.6,5333.8,166035,131842,0
2024-03-01,5335,5401.8,5287.6,5392,125193,124584,0
2024-03-04,5400,5418.6,5289,5383.4,115382,118322,0
2024-03-05,5348,5367.8,5281.2,5311.4,109655,114764,0
2024-03-06,5300.2,5418,5280.6,5345,115716,111890,0
2024-03-07,5358.2,5418,5268,5277,114576,107331,0
2024-03-08,5300.2,5381,5255.8,5348,103462,99244,0
2024-03-11,5330,5463.4,5319.8,5463,93763,90367,0
2024-03-12,5479.4,5526,5428,5488.2,103387,81801,0
2024-03-13,5494.8,5568,5465,5517.4,80318,60725,0
2024-03-14,5510,5545,5431,5487,64905,38334,0
2024-03-15,5473.6,5514.6,5457,5511,32350,15878,0
2024-03-18,5560,5642.8,5507.2,5639.6,81015,99605,0
2024-03-19,5620,5638.6,5569.2,5581.6,75764,98993,0
2024-03-20,5581,5650.8,5568,5629,81466,98770,0
2024-03-21,5652.8,5675.4,5595.4,5627,75688,96980,0
2024-03-22,5611,5630.2,5515,5558.8,95152,101676,0
2024-03-25,5553.4,5575,5420.2,5435.4,88462,98817,0
2024-03-26,5441,5468.8,5365.6,5401,98250,103399,0
2024-03-27,5390,5399.6,5215.6,5216.8,101351,101761,0
2024-03-28,5236.2,5411.8,5230.6,5349.6,120426,106816,0
2024-03-29,5353,5419,5301.2,5412,92418,96257,0
2024-04-01,5443,5557.2,5440,5541.6,77326,93833,0
2024-04-02,5531,5543.2,5462.4,5506.6,84121,93587,0
2024-04-03,5495,5504.2,5421,5475,77975,89825,0
2024-04-08,5460,5460,5341.6,5348.4,73630,90525,0
2024-04-09,5355,5438.8,5347,5431.6,74898,88348,0
2024-04-10,5418,5425,5285.4,5330,88954,92744,0
2024-04-11,5300.4,5427,5291.2,5353.8,91001,87336,0
2024-04-12,5364.4,5395,5295.2,5309,75999,80012,0
2024-04-15,5293.2,5343.2,5174.8,5262.8,106204,83623,0
2024-04-16,5240.2,5264.8,5038.2,5055,109380,72632,0
2024-04-17,5136.4,5294,5120,5289.2,89804,50301,0
2024-04-18,5267,5355.2,5221.2,5290.2,60839,31019,0
2024-04-19,5136,5192.4,5078.2,5118.8,62048,112345,0
2024-04-22,5155.4,5254,5115.2,5189.2,66495,80540,0
2024-04-23,5195,5228.2,5133.2,5151.8,60320,79334,0
2024-04-24,5178.2,5277.4,5145.8,5275.4,65511,78206,0
2024-04-25,5250,5337,5241.2,5279.2,59032,75366,0
2024-04-26,5218,5360,5218,5351.2,71576,110203,0
2024-04-29,5372,5528.6,5371.4,5510.2,73142,110557,0
2024-04-30,5510.2,5525,5432.4,5448.8,59732,106642,0
2024-05-06,5560,5597.2,5531.8,5548.6,57463,108078,0
2024-05-07,5545,5585.8,5533,5557.2,45224,106467,0
2024-05-08,5538,5538,5451,5461.2,50753,109674,0
2024-05-09,5478.8,5587,5471.8,5562.8,56400,110212,0
2024-05-10,5580,5596,5466,5503.6,67029,113824,0
2024-05-13,5451,5492.2,5389.6,5443.8,66036,116072,0
