day,open,high,low,close,volume,amount
2026-09-07 14:47:00,2.236,2.237,2.236,2.236,128000,286272.4038
2026-09-07 14:48:00,2.237,2.237,2.236,2.237,425300,951040.7284
2026-09-07 14:49:00,2.237,2.237,2.236,2.236,370300,828173.4028
2026-09-07 14:50:00,2.237,2.237,2.235,2.236,625300,1398158.3172
2026-09-07 14:51:00,2.236,2.237,2.235,2.236,1902900,4254750.3299
2026-09-07 14:52:00,2.236,2.237,2.236,2.237,1333100,2982065.0959
2026-09-07 14:53:00,2.237,2.237,2.236,2.237,924900,2068299.7453
2026-09-07 14:54:00,2.237,2.237,2.236,2.237,483600,1081640.1966
2026-09-07 14:55:00,2.237,2.238,2.236,2.238,1889800,4227560.0085
2026-09-07 14:56:00,2.238,2.238,2.236,2.237,1570000,3511834.73
2026-09-07 14:57:00,2.237,2.237,2.235,2.237,1186600,2653618.872
2026-09-07 15:00:00,2.236,2.236,2.236,2.236,1920300,4293790.9312
2026-09-08 10:31:00,2.239,2.244,2.238,2.24,5300700,11876306.7272
2026-09-08 10:32:00,2.24,2.241,2.239,2.24,2989600,6696363.3368
2026-09-08 10:33:00,2.241,2.241,2.239,2.24,1084200,2428944.0887
2026-09-08 10:34:00,2.24,2.241,2.239,2.241,2385300,5344757.2103
2026-09-08 10:35:00,2.241,2.242,2.24,2.241,1174800,2632583.2831
2026-09-08 10:36:00,2.242,2.242,2.241,2.242,1572200,3524346.7095
2026-09-08 10:37:00,2.242,2.243,2.241,2.242,1126100,2524593.4149
2026-09-08 10:38:00,2.241,2.242,2.241,2.241,763000,1710086.4013
2026-09-08 10:39:00,2.241,2.242,2.24,2.242,477700,1070542.6687
2026-09-08 10:40:00,2.242,2.242,2.241,2.242,636400,1426266.096
2026-09-08 10:41:00,2.242,2.242,2.24,2.241,513700,1151336.6053
2026-09-08 10:42:00,2.241,2.241,2.24,2.241,143200,320863.9943
2026-09-08 10:43:00,2.241,2.241,2.239,2.239,1553300,3479225.9132
2026-09-08 10:44:00,2.24,2.24,2.239,2.24,356000,797255.8061
2026-09-08 10:45:00,2.24,2.24,2.237,2.238,1891200,4233244.8697
2026-09-08 10:46:00,2.238,2.24,2.238,2.239,863400,1932851.5408
2026-09-08 10:47:00,2.239,2.24,2.238,2.238,551900,1235720.1504
2026-09-08 10:48:00,2.239,2.24,2.238,2.239,544996,1220155.7656
2026-09-08 10:49:00,2.24,2.24,2.238,2.238,632800,1416827.9705
2026-09-08 10:50:00,2.24,2.24,2.238,2.239,197700,442754.2017
2026-09-08 10:51:00,2.24,2.24,2.239,2.24,214300,479999.603
2026-09-08 10:52:00,2.239,2.24,2.238,2.239,281100,629397.623
2026-09-08 10:53:00,2.239,2.239,2.238,2.238,81900,183336.6989
2026-09-08 10:54:00,2.239,2.239,2.238,2.238,675200,1511144.928
2026-09-08 10:55:00,2.238,2.239,2.238,2.238,704800,1577435.8774
2026-09-08 10:56:00,2.238,2.239,2.237,2.238,443400,992340.0506
2026-09-08 10:57:00,2.237,2.239,2.237,2.238,215600,482531.0941
2026-09-08 10:58:00,2.238,2.239,2.238,2.239,107000,239545.7991
2026-09-08 10:59:00,2.239,2.239,2.238,2.238,251200,562230.3772
2026-09-08 11:00:00,2.239,2.239,2.237,2.238,393900,881546.975
2026-09-08 11:01:00,2.238,2.238,2.237,2.238,232600,520519.795
2026-09-08 11:02:00,2.238,2.239,2.238,2.238,528800,1183468.3408
2026-09-08 11:03:00,2.238,2.238,2.237,2.238,154700,346173.6931
2026-09-08 11:04:00,2.238,2.238,2.237,2.237,469600,1050516.8026
2026-09-08 11:05:00,2.238,2.238,2.237,2.238,751600,1681449.7905
2026-09-08 11:06:00,2.237,2.238,2.237,2.238,287200,642633.6008
2026-09-08 11:07:00,2.238,2.238,2.237,2.238,49400,110551.2979
2026-09-08 11:08:00,2.238,2.238,2.237,2.237,672200,1503768.409
2026-09-08 11:09:00,2.238,2.238,2.237,2.237,269600,603102.9037
