date,open,high,low,close,volume,amount
2026-01-23,0.9940,1.0160,0.9910,1.0140,120822182,121639131
2026-01-26,1.0150,1.0320,0.9920,1.0000,40594958,41011206
2026-01-27,0.9910,0.9940,0.9520,0.9800,25803378,25107175
2026-01-28,0.9800,0.9800,0.9540,0.9650,22333554,21483139
2026-01-29,0.9650,0.9660,0.9430,0.9440,24707268,23527628
2026-01-30,0.9450,0.9520,0.9190,0.9470,22424514,20996510
2026-02-02,0.9420,0.9540,0.9260,0.9260,18779038,17666049
2026-02-03,0.9310,0.9510,0.9270,0.9510,15353660,14466392
2026-02-04,0.9510,0.9630,0.9430,0.9620,17923003,17016194
2026-02-05,0.9610,0.9610,0.9310,0.9360,17887908,16745111
2026-02-06,0.9190,0.9660,0.9190,0.9540,41338902,38978191
2026-02-09,0.9600,0.9730,0.9590,0.9700,14563204,14085639
2026-02-10,0.9700,0.9740,0.9620,0.9650,13000668,12578717
2026-02-11,0.9690,0.9780,0.9640,0.9740,23188127,22521883
2026-02-12,0.9750,0.9900,0.9710,0.9870,43544544,42809064
2026-02-13,0.9870,0.9910,0.9750,0.9770,40286978,39530681
2026-02-24,0.9850,0.9890,0.9740,0.9780,19023655,18671517
2026-02-25,0.9780,1.0030,0.9770,0.9940,35822757,35330979
2026-02-26,0.9960,0.9960,0.9710,0.9750,49220272,47994414
2026-02-27,0.9740,0.9770,0.9660,0.9740,14105963,13692698
2026-03-02,0.9630,0.9760,0.9540,0.9640,25283522,24320909
2026-03-03,0.9650,0.9840,0.9430,0.9450,37579909,36410754
2026-03-04,0.9420,0.9510,0.9280,0.9390,41733920,39320207
2026-03-05,0.9450,0.9560,0.9400,0.9470,20039315,18991666
2026-03-06,0.9450,0.9570,0.9360,0.9530,21567633,20421830
2026-03-09,0.9490,0.9700,0.9230,0.9660,25353454,24028756
2026-03-10,0.9760,0.9880,0.9730,0.9840,23399858,22997273
2026-03-11,0.9840,1.0390,0.9820,1.0290,83082863,84833019
2026-03-12,1.0300,1.0350,1.0180,1.0320,124944951,128339518
2026-03-13,1.0310,1.0540,1.0220,1.0320,24407660,25471204
2026-03-16,1.0280,1.0410,1.0140,1.0270,23551321,24221443
2026-03-17,1.0240,1.0350,0.9970,0.9980,22133961,22411954
2026-03-18,0.9990,1.0040,0.9780,0.9930,18090603,17856043
2026-03-19,0.9890,0.9960,0.9660,0.9720,22799713,22331268
2026-03-20,0.9680,1.0290,0.9680,1.0060,34540031,34466057
2026-03-23,1.0160,1.0160,0.9720,0.9840,30435804,30385692
2026-03-24,0.9980,0.9980,0.9390,0.9790,26833401,25766411
2026-03-25,0.9850,0.9990,0.9720,0.9940,26090506,25727881
2026-03-26,0.9940,1.0230,0.9790,1.0040,24222830,24480298
2026-03-27,0.9890,1.0230,0.9810,1.0150,45136334,45226842
2026-03-30,1.0140,1.0200,0.9860,1.0060,21987835,21916527
2026-03-31,1.0030,1.0040,0.9680,0.9700,29416200,28986271
2026-04-01,0.9780,0.9780,0.9550,0.9650,25206800,24339787
2026-04-02,0.9680,0.9700,0.9360,0.9440,22597094,21485622
2026-04-03,0.9460,0.9480,0.9180,0.9250,31289201,28914726
2026-04-07,0.9200,0.9370,0.9160,0.9260,18650500,17226044
2026-04-08,0.9380,0.9600,0.9380,0.9590,30015301,28584407
2026-04-09,0.9530,0.9710,0.9470,0.9610,24956311,24032794
2026-04-10,0.9660,1.0160,0.9660,1.0060,54660370,54843569
2026-04-13,0.9990,1.0280,0.9990,1.0230,63698724,64731794
2026-04-14,1.0230,1.0500,1.0140,1.0500,54821754,56565994
2026-04-15,1.0530,1.0540,1.0240,1.0290,44900977,46779651
2026-04-16,1.0360,1.0650,1.0350,1.0550,34493466,36332379
2026-04-17,1.0560,1.0620,1.0480,1.0590,17571375,18520427
2026-04-20,1.0510,1.0620,1.0450,1.0580,20245874,21359433
2026-04-21,1.0580,1.0830,1.0410,1.0810,28891695,30848935
2026-04-22,1.0830,1.0970,1.0730,1.0830,21946017,23744464
2026-04-23,1.0830,1.0840,1.0570,1.0680,21817618,23345076
2026-04-24,1.0680,1.0950,1.0590,1.0870,24448941,26194951
2026-04-27,1.0870,1.0930,1.0760,1.0880,21448207,23257459
2026-04-28,1.0880,1.0900,1.0660,1.0690,21814300,23464952
2026-04-29,1.0680,1.1300,1.0620,1.1290,27733991,30412455
2026-04-30,1.1290,1.1290,1.1100,1.1260,21778148,24389860
2026-05-06,1.1300,1.1690,1.1240,1.1660,23987212,27582163
2026-05-07,1.1690,1.1720,1.1430,1.1590,25068502,28925325
2026-05-08,1.1590,1.1660,1.1320,1.1350,19884432,22769773
2026-05-11,1.1400,1.1570,1.1260,1.1430,26285746,29977159
2026-05-12,1.1460,1.1470,1.1160,1.1300,30043211,33874642
2026-05-13,1.1220,1.1390,1.1180,1.1350,25971813,29320483
2026-05-14,1.1450,1.1450,1.0970,1.0970,55590705,62839226
2026-05-15,1.0990,1.1330,1.0860,1.1100,22689314,25071072
2026-05-18,1.0940,1.1250,1.0930,1.1190,74023703,82551466
2026-05-19,1.1170,1.1270,1.0980,1.1180,18075006,20055661
2026-05-20,1.1170,1.1590,1.1070,1.1540,47231810,53599178
2026-05-21,1.1540,1.1730,1.1240,1.1330,40354510,46625096
2026-05-22,1.1250,1.1450,1.1240,1.1440,28367300,32235295
2026-05-25,1.1420,1.1430,1.1060,1.1150,29035716,32406985
2026-05-26,1.1060,1.1350,1.1030,1.1170,21497911,23995062
2026-05-27,1.1130,1.1510,1.1130,1.1240,77530035,88201070
2026-05-28,1.1220,1.1270,1.0910,1.1220,37944540,41916825
2026-05-29,1.1240,1.1240,1.0770,1.0860,35003905,38514240
2026-06-01,1.0860,1.1110,1.0770,1.0780,32149503,35292106
2026-06-02,1.0770,1.0860,1.0500,1.0770,42256412,45089297
2026-06-03,1.0730,1.0850,1.0530,1.0650,27857901,29864965
2026-06-04,1.0600,1.0600,1.0400,1.0430,61978633,64895601
2026-06-05,1.0380,1.0460,1.0150,1.0230,74695757,77185745
2026-06-08,0.9900,1.0210,0.9820,0.9930,71043861,71313261
2026-06-09,1.0070,1.0240,0.9880,1.0230,22505737,22616667
2026-06-10,1.0170,1.0170,0.9820,0.9950,19599801,19449474
2026-06-11,0.9870,1.0080,0.9810,0.9960,33801300,33429754
2026-06-12,1.0000,1.0370,1.0000,1.0200,25514500,26030497
2026-06-15,1.0280,1.0370,1.0210,1.0360,17553541,18036793
2026-06-16,1.0470,1.0790,1.0380,1.0780,40297906,42990671
2026-06-17,1.0630,1.0720,1.0540,1.0680,21799815,23156903
2026-06-18,1.0680,1.0740,1.0480,1.0570,25326698,26824265
2026-06-22,1.0490,1.1080,1.0440,1.1080,56187206,60616260
2026-06-23,1.1050,1.1050,1.0470,1.0520,30937642,33146037
2026-06-24,1.0390,1.0720,1.0270,1.0630,28058207,29515758
2026-06-25,1.0630,1.0650,1.0460,1.0570,28591200,30185563
2026-06-26,1.0570,1.0570,0.9990,0.9990,60500376,61772889
