code,class,source,in_core48,rows,first_date,last_date,tail60_avg_amount,L1,L2,H1,F1,twin_overlap_rows,twin_close_mismatches,twin_pref_first_date
510770,沪市ETF(码段),prefixed,False,1208,2021-09-28,2026-09-22,4553186.633333334,False,False,True,True,,,
510800,沪市ETF(码段),prefixed,False,2109,2018-01-15,2026-09-22,3440715.8833333333,False,False,True,True,,,
510810,沪市ETF(码段),prefixed,False,2437,2016-08-29,2026-09-22,28438767.65,True,False,True,True,,,
510850,沪市ETF(码段),prefixed,False,1835,2019-03-06,2026-09-22,9216191.45,False,False,True,True,,,
510880,沪市ETF(码段),prefixed,False,4784,2007-01-18,2026-09-22,719190800.2,True,True,True,True,,,
510900,沪市ETF(码段),prefixed,False,3383,2012-10-22,2026-09-22,130342565.4,True,True,True,True,,,
510910,沪市ETF(码段),prefixed,False,79,2026-06-03,2026-09-22,39096138.46666667,True,False,False,True,,,
510950,沪市ETF(码段),prefixed,False,579,2024-05-10,2026-09-22,15457846.45,False,False,True,True,,,
510980,沪市ETF(码段),prefixed,False,682,2023-12-01,2026-09-22,161035429.05,True,True,True,True,,,
510990,沪市ETF(码段),prefixed,False,1270,2021-07-01,2026-09-22,5150023.716666667,False,False,True,True,,,
511010,国债ETF,bare,True,1631,2020-01-02,2026-09-22,2006958280.2833333,True,True,True,True,1631.0,0.0,2013-04-09
511020,债/货ETF(码段),prefixed,False,1747,2019-02-22,2026-09-22,1758946865.4,True,True,True,True,,,
511030,债/货ETF(码段),prefixed,False,1778,2019-03-22,2026-09-22,3247111313.05,True,True,True,True,,,
511060,债/货ETF(码段),prefixed,False,1639,2019-12-12,2026-09-22,1615237624.4833333,True,True,True,True,,,
511070,债/货ETF(码段),prefixed,False,405,2025-01-22,2026-09-22,7675305221.316667,True,True,True,True,,,
511090,30年国债ETF,bare,True,797,2023-06-13,2026-09-22,3976778701.6833334,True,True,True,True,797.0,0.0,2023-06-13
511100,债/货ETF(码段),prefixed,False,666,2023-12-25,2026-09-22,8724490401.266666,True,True,True,True,,,
511110,债/货ETF(码段),prefixed,False,403,2025-01-24,2026-09-22,7108540337.716666,True,True,True,True,,,
511120,债/货ETF(码段),prefixed,False,290,2025-07-17,2026-09-22,2751191678.7,True,True,False,True,,,
511130,债/货ETF(码段),prefixed,False,605,2024-03-28,2026-09-22,2192569709.3,True,True,True,True,,,
511150,债/货ETF(码段),prefixed,False,241,2025-09-24,2026-09-22,3035398378.65,True,True,False,True,,,
511160,债/货ETF(码段),prefixed,False,417,2025-01-06,2026-09-22,169904393.93333334,True,True,True,True,,,
511180,债/货ETF(码段),prefixed,False,1474,2020-08-26,2026-09-22,1510119451.1833334,True,True,True,True,,,
511190,债/货ETF(码段),prefixed,False,401,2025-02-05,2026-09-22,1372141975.3833334,True,True,True,True,,,
