code,face,sharpe,ann,mdd,n_round_trips,n_entries,skill_line,line_ok,ci_ok,trade_entries_ok,g1_pass,gate_a,chop_grid_cum,chop_passive_cum,capture_rate_total,harvest_pnl,whipsaw_pnl,max_corr_vs_registered,vs_registered_argmax,registered_ok,survivor_science,paper_candidate,x2_sharpe,x2_gate_a,note
518880,null_layout,0.4760909178219768,0.020554233086249596,,70,,,,,,,,,,,,,,,,,,,,seed=62530 offset=0.685239
518880,null_layout,0.3605658619270364,0.014349039894570037,,49,,,,,,,,,,,,,,,,,,,,seed=62531 offset=-0.053578
518880,null_layout,0.38944860495673067,0.014047637779124988,,51,,,,,,,,,,,,,,,,,,,,seed=62532 offset=-0.304808
518880,null_layout,0.49414580298841704,0.021243740568264613,,71,,,,,,,,,,,,,,,,,,,,seed=62533 offset=0.674631
518880,null_layout,0.3855473418431273,0.01515918425063556,,53,,,,,,,,,,,,,,,,,,,,seed=62534 offset=-0.126097
518880,null_layout,0.43091906587794976,0.01542949563291307,,42,,,,,,,,,,,,,,,,,,,,seed=62535 offset=-0.542474
518880,null_layout,0.4549586940990635,0.016968603563055185,,51,,,,,,,,,,,,,,,,,,,,seed=62536 offset=-0.426564
518880,null_layout,0.4669324494845251,0.01971239002802383,,61,,,,,,,,,,,,,,,,,,,,seed=62537 offset=0.419462
518880,null_layout,0.3689118041419143,0.01414832118386733,,51,,,,,,,,,,,,,,,,,,,,seed=62538 offset=-0.267327
518880,null_layout,0.541698999956607,0.025435366376300728,,79,,,,,,,,,,,,,,,,,,,,seed=62539 offset=0.999165
511010,null_layout,0.6401348163297604,0.002231432854286508,,65,,,,,,,,,,,,,,,,,,,,seed=62540 offset=0.98128
511010,null_layout,0.6456465145415988,0.0013250147228700548,,36,,,,,,,,,,,,,,,,,,,,seed=62541 offset=-0.220295
511010,null_layout,0.632968438314579,0.0013157271878625476,,39,,,,,,,,,,,,,,,,,,,,seed=62542 offset=-0.319428
