name,exit_regime,cost_face,status,n_trades,n_entries,annual_return,sharpe,max_drawdown,oos_sharpe,oos_annual_return,skill_line,g1_pass,d6_registered_ok,d6_same_batch,max_corr_vs_registered,note
rand_ce_p0.05_s41,ce,x1,ok,,,0.006,0.1227,-0.1896,0.3023,0.0204,,,,,,p=0.05 seed=55591
rand_ce_p0.05_s42,ce,x1,ok,,,-0.0027,-0.0028,-0.2128,0.4914,0.0362,,,,,,p=0.05 seed=55592
rand_ce_p0.05_s43,ce,x1,ok,,,-0.0065,-0.0563,-0.2809,0.83,0.0636,,,,,,p=0.05 seed=55593
rand_ce_p0.05_s44,ce,x1,ok,,,-0.0029,-0.0027,-0.2025,0.5094,0.0373,,,,,,p=0.05 seed=55594
rand_ce_p0.05_s45,ce,x1,ok,,,-0.0057,-0.0361,-0.231,0.4445,0.0339,,,,,,p=0.05 seed=55595
rand_ce_p0.05_s46,ce,x1,ok,,,-0.0007,0.0256,-0.2576,0.4521,0.0312,,,,,,p=0.05 seed=55596
rand_ce_p0.05_s47,ce,x1,ok,,,0.0308,0.3904,-0.1113,0.5847,0.0356,,,,,,p=0.05 seed=55597
rand_ce_p0.05_s48,ce,x1,ok,,,-0.0192,-0.2187,-0.2671,0.5617,0.0444,,,,,,p=0.05 seed=55598
rand_ce_p0.05_s49,ce,x1,ok,,,0.0188,0.2466,-0.1923,0.6196,0.0443,,,,,,p=0.05 seed=55599
ew48_buyhold,none,formula,ok,0,0,0.0348,0.2825,-0.3843,0.6417,0.1062,,,,,,"J8 formula, consistency info"
ew48_monthly_rebal,none,formula,ok,0,0,0.0487,0.3606,-0.3652,0.7296,0.1162,,,,,,"J8 formula, consistency info"
