cell,leg,family,regime,kind,sharpe_full,annual_return,max_drawdown,worst_year,is2_sharpe,is2_annual,deep_sharpe,wide_sharpe,x2_full_sharpe,x3_full_sharpe,n_trades,n_entries,turnover,win_rate,margin_usage_max_ratio,line,line_ok,ci_ok,pass_v2
null_9,,random,r20,null,0.0212,-0.1343,-0.9545,-0.729,-1.4201,-0.5835,0.1204,-0.0705,,,1352,651,13446236540.0,0.4622,,,,,
null_10,,random,r20,null,0.0907,-0.1138,-0.9811,-0.6766,-0.2232,-0.1737,0.4513,-0.2559,,,1272,575,30664783410.0,0.4362,,,,,
null_11,,random,r20,null,-0.351,-0.2409,-0.9957,-0.6386,0.4059,0.0358,-0.358,-0.3757,,,465,231,1013481000.0,0.4701,,,,,
null_12,,random,r20,null,-0.0315,-0.1513,-0.9729,-0.6397,-0.566,-0.2457,0.0092,-0.0796,,,979,477,5740584990.0,0.4502,,,,,
null_13,,random,r20,null,-0.2812,-0.2282,-0.9934,-0.6799,-0.1837,-0.0284,-0.2897,-0.3211,,,539,270,1899415760.0,0.4312,,,,,
null_14,,random,r20,null,-0.322,-0.2379,-0.9932,-0.6958,0.2563,0.02,-0.294,-0.3873,,,576,280,2251999730.0,0.4291,,,,,
null_15,,random,r20,null,0.4954,0.1275,-0.8022,-0.5393,1.9914,1.76,0.025,0.9271,,,1485,695,55460454190.0,0.4873,,,,,
null_16,,random,r20,null,-0.0956,-0.1771,-0.9817,-0.5592,-0.8523,-0.2355,0.058,-0.2913,,,870,424,5160019420.0,0.4619,,,,,
null_17,,random,r20,null,-0.1429,-0.1676,-0.9889,-0.5884,-0.4305,-0.0729,-0.4798,0.2664,,,782,392,2436795400.0,0.4846,,,,,
null_18,,random,r20,null,0.1116,-0.1002,-0.9869,-0.7447,-0.8221,-0.5233,0.3876,-0.1248,,,1440,678,40279852260.0,0.4711,,,,,
null_19,,random,r20,null,0.2184,-0.0398,-0.9753,-0.7922,0.272,-0.0145,0.0143,0.41,,,1303,639,17912019610.0,0.4955,,,,,
null_20,,random,r20,null,-0.1632,-0.1881,-0.9946,-0.7265,-0.1739,-0.0331,-0.3742,0.1468,,,644,327,2195900830.0,0.4826,,,,,
null_21,,random,r20,null,0.1129,-0.09,-0.9449,-0.651,1.5975,0.6031,0.0267,0.1967,,,1290,615,14611515860.0,0.4681,,,,,
null_22,,random,r20,null,-0.1614,-0.1675,-0.9928,-0.6542,0.266,0.0268,-0.4334,0.2253,,,712,359,1617699260.0,0.4561,,,,,
null_23,,random,r20,null,-0.1294,-0.1702,-0.9778,-0.8137,0.7237,0.1192,-0.2377,-0.0001,,,869,426,5619944260.0,0.4695,,,,,
null_24,,random,r20,null,-0.1612,-0.1957,-0.9923,-0.5662,-0.2868,-0.062,-0.2096,-0.1095,,,792,389,4744916230.0,0.4591,,,,,
null_25,,random,r20,null,0.0181,-0.1314,-0.983,-0.7277,-0.7232,-0.3312,0.1664,-0.1188,,,1194,596,12836018660.0,0.4649,,,,,
null_26,,random,r20,null,-0.1489,-0.1815,-0.994,-0.7496,-1.4813,-0.4299,-0.1666,-0.1246,,,855,423,10021513880.0,0.4699,,,,,
