name,family,exit_regime,status,n_trades,oos_trades,annual_return,sharpe,max_drawdown,win_rate,oos_sharpe,oos_annual_return,oos_max_drawdown,i_bar,vi_bar,g1_pass,sleeve_tag,x2_full_sharpe,x2_oos_sharpe,max_corr,note
rand_ce_p0.05_s32,random_baseline,ce,ok,205,69,0.008,0.4424,-0.0308,0.5707,0.5819,0.0131,-0.0308,,,False,,,,,p=0.05 seed=30082
rand_ce_p0.05_s33,random_baseline,ce,ok,224,75,0.0157,0.8651,-0.0283,0.6071,1.1226,0.0251,-0.0247,,,False,,,,,p=0.05 seed=30083
rand_ce_p0.05_s34,random_baseline,ce,ok,221,73,0.0193,1.0024,-0.0282,0.5928,1.2659,0.0321,-0.0221,,,False,,,,,p=0.05 seed=30084
rand_ce_p0.05_s35,random_baseline,ce,ok,211,73,0.0217,1.2623,-0.0256,0.6161,1.6188,0.0342,-0.0256,,,False,,,,,p=0.05 seed=30085
rand_ce_p0.05_s36,random_baseline,ce,ok,203,66,0.0134,0.7693,-0.0352,0.5517,0.6516,0.0139,-0.0352,,,False,,,,,p=0.05 seed=30086
rand_ce_p0.05_s37,random_baseline,ce,ok,204,71,0.0239,1.472,-0.0322,0.6324,1.0232,0.0211,-0.0322,,,False,,,,,p=0.05 seed=30087
rand_ce_p0.05_s38,random_baseline,ce,ok,205,64,0.0138,0.7941,-0.0231,0.6146,1.1307,0.0237,-0.0218,,,False,,,,,p=0.05 seed=30088
rand_ce_p0.05_s39,random_baseline,ce,ok,213,67,0.01,0.5847,-0.0371,0.5352,-0.0433,-0.0011,-0.0371,,,False,,,,,p=0.05 seed=30089
rand_ce_p0.05_s40,random_baseline,ce,ok,209,65,0.0167,1.0229,-0.0376,0.6029,0.3101,0.0057,-0.0376,,,False,,,,,p=0.05 seed=30090
rand_ce_p0.05_s41,random_baseline,ce,ok,193,66,0.0192,1.273,-0.0205,0.6528,1.56,0.0252,-0.0205,,,False,,,,,p=0.05 seed=30091
rand_ce_p0.05_s42,random_baseline,ce,ok,204,65,0.0067,0.3684,-0.0376,0.6029,-0.2933,-0.0073,-0.0376,,,False,,,,,p=0.05 seed=30092
rand_ce_p0.05_s43,random_baseline,ce,ok,235,76,0.0123,0.6402,-0.0438,0.5702,0.5425,0.0125,-0.0438,,,False,,,,,p=0.05 seed=30093
rand_ce_p0.05_s44,random_baseline,ce,ok,223,82,0.018,0.9954,-0.028,0.6188,0.8331,0.0196,-0.028,,,False,,,,,p=0.05 seed=30094
rand_ce_p0.05_s45,random_baseline,ce,ok,201,71,0.0065,0.3562,-0.0401,0.5771,0.9779,0.023,-0.0351,,,False,,,,,p=0.05 seed=30095
rand_ce_p0.05_s46,random_baseline,ce,ok,204,68,0.0118,0.713,-0.0326,0.5196,0.9658,0.0205,-0.0269,,,False,,,,,p=0.05 seed=30096
rand_ce_p0.05_s47,random_baseline,ce,ok,219,72,0.0188,1.1219,-0.0184,0.5982,1.483,0.0287,-0.0139,,,False,,,,,p=0.05 seed=30097
rand_ce_p0.05_s48,random_baseline,ce,ok,207,68,0.015,0.8117,-0.0305,0.628,1.4338,0.0323,-0.0205,,,False,,,,,p=0.05 seed=30098
rand_ce_p0.05_s49,random_baseline,ce,ok,218,72,0.0143,0.7678,-0.0455,0.5917,0.2676,0.006,-0.0455,,,False,,,,,p=0.05 seed=30099
ew5_buyhold,passive_null,none,ok,0,0,0.0952,0.9898,-0.2036,,0.9109,0.1412,-0.2036,,,,,,,J8 formula verbatim
ew5_monthly_rebal,passive_null,none,ok,0,0,0.0836,1.1313,-0.1347,,0.989,0.1049,-0.1347,,,,,,,J8 formula verbatim
