code,board,first,last,ok_static,exclude_reason
000557,main,1994-06-17,2026-09-22,True,
000558,main,1994-05-09,2026-09-22,False,r1_loss
000559,main,1994-01-10,2026-09-22,True,
000560,main,1994-02-02,2026-09-22,False,r1_loss
000561,main,1994-05-09,2026-09-22,False,r1_loss
000563,main,1994-01-10,2026-09-22,True,
000564,main,1994-01-10,2026-09-22,False,r1_loss
000565,main,1994-04-08,2026-09-22,True,
000566,main,1994-05-25,2026-09-22,False,r1_loss
000567,main,1994-05-25,2026-09-22,True,
000568,main,1994-05-09,2026-09-22,True,
000570,main,1994-07-01,2026-09-22,True,
000571,main,1994-05-25,2026-09-22,False,r1_loss
000572,main,1994-08-08,2026-09-22,False,r1_loss
000573,main,1994-08-15,2026-09-22,True,
000576,main,1994-09-07,2026-09-22,True,
000581,main,1998-09-24,2026-09-22,True,
000582,main,1995-11-02,2026-09-22,True,
000586,main,1995-12-20,2026-09-22,False,r1_loss
000589,main,1996-03-08,2026-09-22,True,
000590,main,1996-01-19,2026-09-22,False,r1_loss
000591,main,1996-02-08,2026-09-22,True,
000592,main,1996-03-27,2026-09-22,False,r1_loss
000593,main,1996-03-12,2026-09-22,True,
000595,main,1996-04-19,2026-09-22,False,r1_loss
000596,main,1996-09-27,2026-09-22,True,
000597,main,1996-05-23,2026-09-22,True,
000598,main,1996-05-29,2026-09-22,True,
000599,main,1996-04-30,2026-09-22,False,r1_loss
000600,main,1996-06-06,2026-09-22,True,
000601,main,1996-08-30,2026-09-22,True,
000603,main,1996-08-23,2026-09-22,True,
000605,main,1996-09-13,2026-09-22,True,
000607,main,1996-08-30,2026-09-22,False,r1_loss
000608,main,1996-09-19,2026-09-22,False,r1_loss
000609,main,1996-10-10,2026-09-22,False,r1_loss+r2_st
000610,main,1996-09-26,2026-09-22,False,r1_loss+r2_st
000612,main,1996-09-26,2026-09-22,True,
000615,main,1996-10-16,2026-09-22,False,r1_loss+r2_st
000617,main,1996-10-22,2026-09-22,True,
000619,main,1996-10-23,2026-09-22,False,r1_loss
000620,main,1996-10-29,2026-09-22,False,r1_loss
000623,main,1996-10-28,2026-09-22,True,
000625,main,1997-06-10,2026-09-22,True,
000626,main,1996-11-28,2026-09-22,False,r1_loss
000628,main,1996-11-18,2026-09-22,True,
000629,main,1996-11-15,2026-09-22,False,r1_loss
000630,main,1996-11-20,2026-09-22,True,
000631,main,1996-11-22,2026-09-22,True,
000632,main,1996-11-21,2026-09-22,False,r1_loss+r2_st
000633,main,1996-11-12,2026-09-22,True,
000635,main,1996-11-20,2026-09-22,False,r1_loss
000636,main,1996-11-29,2026-09-22,True,
000637,main,1996-11-14,2026-09-22,False,r1_loss
000639,main,1996-11-26,2026-09-22,False,r1_loss+r2_st
000650,main,1996-12-10,2026-09-22,True,
000651,main,1996-11-18,2026-09-22,True,
000652,main,1996-11-28,2026-09-22,False,r1_loss
000655,main,1996-11-28,2026-09-22,True,
000656,main,1996-11-28,2026-09-22,True,
000657,main,1996-12-05,2026-09-22,True,
000659,main,1996-12-03,2026-09-22,False,r1_loss
000661,main,1996-12-18,2026-09-22,False,r1_loss
000663,main,1996-12-06,2026-09-22,False,r1_loss
000665,main,1996-12-10,2026-09-22,False,r1_loss
000668,main,1996-12-10,2026-09-22,True,
000669,main,1996-12-10,2026-09-22,False,r2_st
000670,main,1996-12-17,2026-09-22,False,r1_loss
000672,main,1996-12-18,2026-09-22,True,
000676,main,1996-12-24,2026-09-22,True,
000677,main,1996-12-26,2026-09-22,False,r1_loss+r2_st
000678,main,1997-01-06,2026-09-22,False,r1_loss
000679,main,1997-01-24,2026-09-22,False,r1_loss
000680,main,1997-01-22,2026-09-22,True,
000681,main,1997-01-21,2026-09-22,True,
000682,main,1997-01-21,2026-09-22,True,
000683,main,1997-01-31,2026-09-22,True,
000685,main,1997-01-23,2026-09-22,True,
000686,main,1997-02-27,2026-09-22,True,
000688,main,1997-01-20,2026-09-22,True,
000690,main,1997-01-28,2026-09-22,True,
000691,main,1997-02-28,2026-09-22,False,r1_loss
000692,main,1997-02-27,2026-09-22,False,r1_loss
000695,main,1997-02-18,2026-09-22,False,r1_loss
000697,main,1997-03-25,2026-09-22,False,r1_loss
000698,main,1997-02-20,2026-09-22,False,r1_loss+r2_st
000700,main,1997-02-28,2026-09-22,True,
000701,main,1997-02-26,2026-09-22,True,
000702,main,1997-03-18,2026-09-22,False,r1_loss
000703,main,1997-03-28,2026-09-22,True,
000705,main,1997-04-10,2026-09-22,False,r1_loss
000707,main,1997-04-15,2026-09-22,False,r1_loss
000708,main,1997-03-26,2026-09-22,True,
000709,main,1997-04-16,2026-09-22,True,
000710,main,1997-04-22,2026-09-22,False,r1_loss
000711,main,1997-04-11,2026-09-22,False,r1_loss
000712,main,1997-04-15,2026-09-22,True,
000713,main,1997-04-22,2026-09-22,True,
000715,main,1997-05-08,2026-09-22,True,
000716,main,1997-04-18,2026-09-22,False,r1_loss
000717,main,1997-05-08,2026-09-22,False,r1_loss
000718,main,1997-04-08,2026-09-22,False,r1_loss
000719,main,1997-03-31,2026-09-22,True,
000720,main,1997-05-09,2026-09-22,False,r1_loss
000721,main,1997-04-30,2026-09-22,False,r1_loss
000722,main,1997-05-22,2026-09-22,True,
000723,main,1997-05-15,2026-09-22,False,r1_loss
000725,main,2001-01-12,2026-09-22,True,
000726,main,2000-12-25,2026-09-22,True,
000727,main,1997-05-20,2026-09-22,False,r1_loss
000728,main,1997-06-16,2026-09-22,True,
000729,main,1997-07-16,2026-09-22,True,
000731,main,1997-06-17,2026-09-22,False,r1_loss
000733,main,1997-07-03,2026-09-22,True,
000735,main,1997-06-11,2026-09-22,False,r1_loss
000736,main,1997-04-25,2026-09-22,False,r1_loss
000737,main,1997-04-28,2026-09-22,True,
000738,main,1997-06-26,2026-09-22,True,
000739,main,1997-05-09,2026-09-22,True,
000750,main,1997-07-09,2026-09-22,True,
000751,main,1997-06-26,2026-09-22,True,
000752,main,1997-06-25,2026-09-22,False,r2_st
000753,main,1997-06-26,2026-09-22,True,
000755,main,1997-06-27,2026-09-22,True,
000756,main,1997-08-06,2026-09-22,True,
000757,main,1997-06-27,2026-09-22,True,
000758,main,1997-04-16,2026-09-22,True,
000759,main,1997-05-19,2026-09-22,False,r1_loss
000761,main,1998-01-15,2026-09-22,False,r1_loss
000762,main,1997-07-08,2026-09-22,False,r1_loss
000766,main,1997-04-30,2026-09-22,True,
000767,main,1997-06-09,2026-09-22,True,
000768,main,1997-06-26,2026-09-22,True,
000776,main,1997-06-11,2026-09-22,True,
000777,main,1997-07-10,2026-09-22,True,
000778,main,1997-06-06,2026-09-22,True,
000779,main,1997-05-28,2026-09-22,True,
000782,main,1997-06-19,2026-09-22,False,r1_loss
000783,main,1997-07-31,2026-09-22,True,
000785,main,1997-07-11,2026-09-22,False,r1_loss
000786,main,1997-06-06,2026-09-22,True,
000788,main,1997-06-16,2026-09-22,True,
000789,main,1997-09-23,2026-09-22,False,r1_loss
000790,main,1998-03-27,2026-09-22,False,r1_loss
000791,main,1997-10-14,2026-09-22,True,
000792,main,1997-09-04,2026-09-22,True,
000793,main,1997-07-29,2026-09-22,False,r1_loss+r2_st
000795,main,1997-08-08,2026-09-22,True,
000796,main,1997-07-03,2026-09-22,True,
000797,main,1997-07-15,2026-09-22,False,r1_loss
000798,main,1998-02-12,2026-09-22,True,
000799,main,1997-07-18,2026-09-22,False,r1_loss
000800,main,1997-06-18,2026-09-22,True,
000801,main,1998-05-06,2026-09-22,True,
000802,main,1998-01-08,2026-09-22,False,r1_loss
000803,main,1998-03-03,2026-09-22,True,
000807,main,1998-04-08,2026-09-22,True,
000809,main,1998-06-16,2026-09-22,False,r1_loss
000810,main,1998-06-02,2026-09-22,True,
000811,main,1998-05-28,2026-09-22,True,
000812,main,1998-06-23,2026-09-22,False,r1_loss
000813,main,1998-05-19,2026-09-22,False,r1_loss
000815,main,1998-06-09,2026-09-22,True,
000816,main,1997-08-18,2026-09-22,False,r1_loss
000818,main,1997-10-17,2026-09-22,False,r1_loss
000819,main,1997-06-25,2026-09-22,False,r1_loss
000820,main,1998-06-30,2026-09-22,False,r1_loss
000821,main,1998-06-26,2026-09-22,False,r2_st
000822,main,1998-07-03,2026-09-22,False,r1_loss
000823,main,1997-10-08,2026-09-22,True,
000825,main,1998-10-21,2026-09-22,False,r1_loss
000826,main,1998-02-25,2026-09-22,False,r1_loss+r2_st
000828,main,1997-06-17,2026-09-22,True,
000829,main,1997-12-02,2026-09-22,False,r1_loss
000830,main,1998-08-07,2026-09-22,True,
000831,main,1998-09-11,2026-09-22,True,
000833,main,1998-11-11,2026-09-22,True,
000837,main,1998-09-28,2026-09-22,True,
000838,main,1997-06-26,2026-09-22,False,r1_loss+r2_st
000839,main,1997-10-31,2026-09-22,False,r1_loss
000848,main,1997-11-13,2026-09-22,True,
000850,main,1998-10-07,2026-09-22,True,
000852,main,1998-11-26,2026-09-22,False,r1_loss
000856,main,1998-08-13,2026-09-22,True,
000858,main,1998-04-27,2026-09-22,True,
000859,main,1998-11-19,2026-09-22,False,r1_loss
000860,main,1998-11-04,2026-09-22,False,r1_loss
000862,main,1998-09-15,2026-09-22,False,r1_loss
000863,main,1997-09-25,2026-09-22,False,r1_loss
000868,main,1997-07-25,2026-09-22,False,r1_loss
000869,main,2000-10-26,2026-09-22,True,
000875,main,2002-09-26,2026-09-22,True,
000876,main,1998-03-11,2026-09-22,False,r1_loss
000877,main,1999-01-07,2026-09-22,False,r1_loss
000878,main,1998-06-02,2026-09-22,True,
